grade confidence_level
Correct 1.0
Abstained 0
Correct 1.0
Wrong 0.9999983906745911
Correct 1.0
Wrong 0.9965580701828003
Wrong 0.9767678380012512
Correct 0.9999995827674866
Wrong 0.9999949336051941
Wrong 0.9999960660934448
Correct 1.0
Correct 0.9999767541885376
Correct 0.9999969601631165
Correct 0.9999993443489075
Wrong 0.9999960064888
Correct 1.0
Correct 0.9999991655349731
Correct 1.0
Correct 0.9999995231628418
Correct 0.9999995827674866
Correct 0.9999995231628418
Correct 0.9999997019767761
Correct 1.0
Wrong 0.9755719304084778
Correct 0.9999876618385315
Correct 1.0
Abstained 0
Correct 0.9999998211860657
Correct 1.0
Correct 0.9999961853027344
Wrong 1.0
Correct 0.9999991655349731
Correct 0.9999997615814209
Correct 0.9999996423721313
Wrong 0.9017853140830994
Correct 0.9999990463256836
Correct 0.999999463558197
Wrong 1.0
Correct 1.0
Correct 0.9999998807907104
Correct 0.9999998807907104
Wrong 0.9013609886169434
Abstained 0
Wrong 0.9999988079071045
Correct 0.9999995231628418
Abstained 0.9999998807907104
Correct 0.999372124671936
Wrong 0.9999520182609558
Correct 0.9998942613601685
Correct 0.9996932148933411
Wrong 0.9999999403953552
Wrong 1.0
Wrong 0.9999995231628418
Correct 0.9999823570251465
Wrong 1.0
Correct 0.9697563052177429
Correct 0.9999998807907104
Wrong 0.8141289353370667
Abstained 0
Correct 0.9551159143447876
Correct 0.9998390674591064
Correct 0.9999999403953552
Correct 1.0
Wrong 0.999847412109375
Correct 1.0
Wrong 1.0
Wrong 0.9999967813491821
Wrong 0.9999997615814209
Correct 1.0
Correct 0.9999996423721313
Wrong 0.9998493790626526
Correct 1.0
Correct 0.9999992251396179
Correct 0.9999979138374329
Correct 1.0
Correct 0.9999947547912598
Correct 0.9999998807907104
Correct 1.0
Wrong 0.9998952150344849
Correct 0.9999998807907104
Wrong 0.9993929266929626
Correct 0.9999995827674866
Correct 1.0
Wrong 1.0
Correct 0.9999997615814209
Correct 0.9999995827674866
Wrong 0.9964037537574768
Wrong 0.999433696269989
Correct 0.9999948740005493
Wrong 0.9999998807907104
Wrong 0.9989868998527527
Correct 0.9998003244400024
Correct 1.0
Wrong 0.9999415874481201
Wrong 0.9999991059303284
Correct 0.9999999403953552
Correct 0.9974883794784546
Correct 0.9999444484710693
Correct 0.9999997615814209
Wrong 0.9980874061584473
Abstained 0.9999983906745911
Correct 0.9999997019767761
Wrong 0.9999999403953552
Abstained 0.9999956488609314
Correct 0.7889105677604675
Wrong 0.9990968704223633
Correct 1.0
Correct 0.6076599955558777
Wrong 0.9999819993972778
Correct 0.9999999403953552
Abstained 1.0
Correct 1.0
Abstained 0
Correct 1.0
Correct 1.0
Correct 1.0
Wrong 0.9894495606422424
Correct 0.9999998807907104
Correct 1.0
Wrong 0.9999774098396301
Wrong 0.9999998807907104
Correct 0.9978607296943665
Wrong 0.9999986886978149
Wrong 0.9996798038482666
Correct 1.0
Correct 1.0
Correct 1.0
Wrong 0.963654100894928
Wrong 1.0
Correct 1.0
Wrong 0.9999999403953552
Correct 1.0
Correct 0.9999996423721313
Correct 0.9999988079071045
Abstained 0
Correct 0.9997644424438477
Wrong 0.999999463558197
Wrong 1.0
Correct 1.0
Correct 0.9999983310699463
Correct 0.9999999403953552
Abstained 0.9999997615814209
Wrong 0.9999999403953552
Abstained 0.9956256747245789
Wrong 0.9999803900718689
Correct 0.9999999403953552
Correct 0.999999463558197
Correct 0.9999999403953552
Wrong 0.9999995827674866
Wrong 0.6437074542045593
Correct 1.0
Wrong 0.9994907975196838
Correct 1.0
Wrong 0.9999618530273438
Correct 0.9999999403953552
Correct 0.9999985694885254
Correct 1.0
Wrong 0.9950370788574219
Correct 0.9999993443489075
Correct 0.9999963045120239
Correct 0.9989866614341736
Correct 0.9999970197677612
Wrong 0.9925342798233032
Correct 0.9999997019767761
Wrong 0.9999994039535522
Abstained 0.5073688626289368
Wrong 0.9999980330467224
Wrong 1.0
Wrong 0.9998027682304382
Wrong 0.9999966025352478
Wrong 0.9998822808265686
Correct 0.9999993443489075
Wrong 1.0
Wrong 1.0
Correct 0.9999997019767761
Correct 1.0
Wrong 0.9999996423721313
Correct 0.8207483291625977
Abstained 0.8777075409889221
Wrong 0.9997420907020569
Correct 1.0
Correct 0.9999997615814209
Correct 0.9998805522918701
Correct 0.9999974370002747
Wrong 0.9998751878738403
Correct 0.999994695186615
Wrong 1.0
Correct 0.9995827674865723
Wrong 1.0
Correct 0.5467296242713928
Abstained 0
Wrong 1.0
Wrong 0.9999998211860657
Abstained 0
Correct 0.9999998211860657
Correct 1.0
Correct 0.9999994039535522
Correct 0.9999986886978149
Correct 0.9999998807907104
Wrong 1.0
Correct 1.0
Abstained 0
Correct 0.9999995231628418
Abstained 0.9998487234115601
Correct 0.9999991059303284
Correct 0.9999993443489075
Wrong 0.9999960660934448
Correct 0.9999979734420776
Wrong 1.0
Correct 0.9999967813491821
Correct 1.0
Wrong 1.0
Correct 0.9999997615814209
Wrong 1.0
Wrong 0.5544624924659729
Correct 1.0
Correct 0.9999998807907104
Correct 1.0
Correct 1.0
Wrong 0.9979764819145203
Correct 1.0
Correct 1.0
Wrong 0.9019202589988708
Correct 0.9999999403953552
Correct 1.0
Wrong 0.9999998807907104
Correct 0.9999961256980896
Wrong 0.9999997615814209
Wrong 1.0
Correct 0.9999999403953552
Wrong 0.9999998807907104
Wrong 0.9999998807907104
Abstained 0.7476378083229065
Correct 0.9999998807907104
Correct 0.997946560382843
Correct 0.9999995827674866
Correct 1.0
Correct 0.9999992251396179
Correct 1.0
Wrong 0.9999998807907104
Correct 0.9999627470970154
Correct 0.9999991655349731
Wrong 0.9603164792060852
Correct 1.0
Correct 0.9999963641166687
Correct 1.0
Correct 0.9999978542327881
Wrong 1.0
Correct 1.0
Correct 0.9999999403953552
Wrong 0.9570842981338501
Wrong 0.9999999403953552
Wrong 0.9998345971107483
Wrong 1.0
Correct 1.0
Correct 0.9999960064888
Wrong 0.9999032020568848
Wrong 0.9999908208847046
Correct 0.9999998807907104
Correct 0.9988304972648621
Wrong 1.0
Correct 1.0
Correct 1.0
Wrong 0.9999982118606567
Wrong 0.9985532164573669
Abstained 0
Correct 0.9999995827674866
Correct 1.0
Correct 0.9999991655349731
Correct 1.0
Wrong 0.9999487400054932
Wrong 0.9999989867210388
Correct 1.0
Correct 0.9999998211860657
Wrong 1.0
Correct 1.0
Correct 0.9999999403953552
Abstained 0
Correct 1.0
Wrong 0.9999234676361084
Wrong 0.9999321699142456
Correct 0.9999998211860657
Correct 0.9779037237167358
Correct 1.0
Correct 1.0
Correct 0.9999998211860657
Correct 1.0
Wrong 0.9999998807907104
Correct 1.0
Wrong 0.9999990463256836
Correct 0.999999463558197
Correct 1.0
Correct 0.9817062020301819
Correct 0.9996457695960999
Correct 1.0
Wrong 0.9997288584709167
Correct 0.9999997615814209
Wrong 1.0
Correct 0.999999463558197
Correct 1.0
Correct 1.0
Wrong 0.8962507843971252
Abstained 0.49450087547302246
Correct 0.9904494285583496
Wrong 1.0
Correct 0.9999999403953552
Correct 0.9999998211860657
Correct 1.0
Wrong 1.0
Correct 0.9999999403953552
Abstained 0.999998152256012
Correct 0.9999986290931702
Correct 0.9999997615814209
Wrong 1.0
Correct 1.0
Wrong 1.0
Wrong 0.9999982118606567
Correct 1.0
Correct 0.9999998211860657
Correct 0.9999992847442627
Wrong 0.6683639287948608
Correct 1.0
Abstained 0.9997437000274658
Correct 0.9999995827674866
Correct 0.9999980926513672
Abstained 0
Correct 1.0
Wrong 0.9999999403953552
Correct 0.9999992847442627
Wrong 1.0
Wrong 0.9999963641166687
Wrong 0.9888295531272888
Wrong 0.9999996423721313
Correct 1.0
Correct 1.0
Correct 0.9999998807907104
Wrong 0.9825571179389954
Correct 0.9999998807907104
Correct 0.9999998807907104
Correct 0.9999996423721313
Wrong 0.9999902248382568
Correct 0.9999999403953552
Wrong 0.5610576272010803
Correct 1.0
Correct 0.9999988079071045
Correct 0.9999993443489075
Correct 0.9999904632568359
Correct 1.0
Correct 0.9999999403953552
Wrong 0.6925886869430542
Correct 1.0
Wrong 0.6150878071784973
Wrong 1.0
Correct 1.0
Abstained 0.7614641189575195
Correct 0.9999997615814209
Abstained 0.9999998211860657
Wrong 0.8719289302825928
Abstained 0
Correct 0.9999992847442627
Correct 0.9999987483024597
Wrong 0.999999463558197
Correct 1.0
Wrong 0.9999549984931946
Wrong 1.0
Wrong 0.6879468560218811
Correct 1.0
Correct 1.0
Correct 0.9999993443489075
Correct 0.9999992251396179
Correct 0.9999854564666748
Correct 0.9999998211860657
Wrong 1.0
Wrong 0.6150476932525635
Wrong 0.9998883605003357
Wrong 1.0
Wrong 0.9999997019767761
Correct 0.9999944567680359
Wrong 0.9740423560142517
Wrong 1.0
Wrong 0.9998989701271057
Correct 0.9228876829147339
Correct 0.999999463558197
Correct 1.0
Wrong 1.0
Wrong 0.998439610004425
Correct 0.9999986290931702
Correct 0.9999996423721313
Correct 0.9999979138374329
Correct 1.0
Abstained 0
Correct 1.0
Correct 0.9999991655349731
Correct 1.0
Correct 0.9999997019767761
Wrong 0.9999999403953552
Abstained 0
Correct 0.9999999403953552
Wrong 0.9999999403953552
Correct 1.0
Correct 0.9999997019767761
Correct 1.0
Correct 0.9999995827674866
Wrong 0.9999977350234985
Abstained 0
Correct 0.9999998211860657
Abstained 0.40056705474853516
Correct 0.9999998807907104
Correct 1.0
Abstained 0
Correct 0.9999977946281433
Correct 0.9999950528144836
Correct 0.9999997019767761
Abstained 0
Wrong 0.9949305057525635
Wrong 0.9997820854187012
Correct 0.9999969005584717
Correct 0.999999463558197
Correct 0.9999998211860657
Wrong 0.9885440468788147
Correct 0.9999005794525146
Correct 1.0
Wrong 0.9999944567680359
Wrong 0.5774858593940735
Correct 0.9996994137763977
Wrong 0.9997713565826416
Wrong 1.0
Correct 0.9219182133674622
Abstained 0
Wrong 0.9999995827674866
Wrong 0.9985873699188232
Correct 1.0
Correct 0.9999997615814209
Correct 0.9999998807907104
Wrong 0.9999998807907104
Correct 0.9999992847442627
Correct 0.9999999403953552
Wrong 0.9379686713218689
Abstained 0
Wrong 0.9986497759819031
Wrong 0.9999977946281433
Correct 0.9867345690727234
Abstained 0
Correct 0.9999998807907104
Correct 1.0
Correct 0.9999677538871765
Wrong 1.0
Wrong 0.9999985694885254
Wrong 0.9999998807907104
Wrong 1.0
Abstained 0.452195405960083
Correct 0.9999998807907104
Correct 0.9999998807907104
Correct 1.0
Wrong 0.9939736723899841
Correct 1.0
Wrong 1.0
Correct 0.9999995827674866
Wrong 0.9999998807907104
Correct 0.9999998807907104
Correct 1.0
Wrong 0.9999952912330627
Correct 0.9999575614929199
Correct 1.0
Correct 0.9968236684799194
Abstained 0.6640955805778503
Correct 1.0
Wrong 0.9998664259910583
Correct 1.0
Correct 1.0
Correct 0.9954428672790527
Wrong 0.8396812677383423
Wrong 0.9994430541992188
Wrong 1.0
Wrong 0.9999982714653015
Wrong 0.9999993443489075
Wrong 1.0
Abstained 0
Abstained 0
Wrong 0.8858223557472229
Correct 0.9999947547912598
Correct 1.0
Correct 1.0
Correct 1.0
Wrong 0.9999989867210388
Wrong 1.0
Correct 0.9997621178627014
Correct 0.9999885559082031
Correct 0.9999979734420776
Correct 0.925853431224823
Wrong 0.9926671981811523
Abstained 0
Correct 0.9999614357948303
Correct 0.9999998211860657
Abstained 0.967868447303772
Wrong 0.9995340704917908
Correct 0.999998152256012
Correct 0.9999999403953552
Abstained 0.9999998807907104
Correct 0.9999999403953552
Correct 0.999997079372406
Wrong 0.9999990463256836
Wrong 0.9997080564498901
Wrong 0.7402573227882385
Correct 1.0
Correct 0.9999999403953552
Abstained 0
Correct 0.9999997019767761
Correct 1.0
Correct 1.0
Correct 1.0
Correct 0.9999979734420776
Correct 0.9999996423721313
Correct 0.9999998807907104
Abstained 0
Correct 1.0
Abstained 0
Correct 0.9999999403953552
Abstained 0
Abstained 0
Correct 1.0
Correct 1.0
Correct 0.9304264187812805
Correct 1.0
Correct 0.9999603629112244
Abstained 0
Wrong 1.0
Wrong 0.9992623329162598
Correct 0.9999998211860657
Correct 0.9999912977218628
Correct 1.0
Wrong 0.9872953295707703
Correct 0.9999999403953552
Abstained 0
Wrong 1.0
Abstained 0.998002827167511
Correct 1.0
Correct 0.9999996423721313
Wrong 0.9999914169311523
Correct 1.0
Correct 0.9999974966049194
Correct 1.0
Wrong 0.9992852210998535
Wrong 0.9999998211860657
Wrong 0.5541667342185974
Abstained 0.839728057384491
Correct 0.9999967217445374
Correct 1.0
Correct 0.9999998211860657
Correct 0.9999424815177917
Wrong 0.9981889128684998
Correct 0.9999999403953552
Wrong 0.9964496493339539
Wrong 0.9999772906303406
Wrong 0.9998654723167419
Wrong 0.9999996423721313
Correct 0.9999998807907104
Correct 1.0
