grade confidence_level
Correct 14.109375
Wrong 13.9921875
Correct 13.7265625
Unparseable 0
Wrong 14.1875
Wrong 14.1328125
Correct 13.7734375
Wrong 14.0625
Wrong 13.453125
Wrong 14.0390625
Wrong 13.2109375
Correct 13.921875
Correct 14.0859375
Wrong 13.453125
Wrong 13.4140625
Wrong 13.6796875
Wrong 13.5546875
Unparseable 0
Wrong 13.7109375
Wrong 13.765625
Correct 13.4609375
Wrong 14.7578125
Correct 14.234375
Correct 14.390625
Correct 14.9453125
Correct 19.90625
Wrong 14.046875
Correct 13.9609375
Wrong 13.4921875
Wrong 13.9765625
Wrong 13.65625
Correct 14.625
Correct 14.1484375
Wrong 13.1953125
Wrong 13.5
Wrong 14.3984375
Wrong 13.578125
Correct 14.28125
Correct 13.203125
Wrong 18.25
Wrong 13.6796875
Correct 14.046875
Wrong 13.5234375
Correct 14.3671875
Wrong 13.640625
Wrong 14.6484375
Correct 13.8515625
Correct 14.3828125
Wrong 13.9140625
Wrong 13.890625
Wrong 13.7890625
Correct 14.375
Wrong 13.5078125
Correct 13.8984375
Wrong 14.0546875
Correct 13.484375
Wrong 13.515625
Wrong 13.4296875
Correct 13.7890625
Correct 14.3984375
Correct 14.15625
Wrong 13.609375
Wrong 13.734375
Wrong 13.0625
Wrong 14.6328125
Correct 13.7265625
Wrong 13.375
Correct 13.3046875
Correct 14.296875
Correct 15.171875
Correct 13.9921875
Wrong 13.9765625
Wrong 14.0625
Wrong 13.5703125
Correct 14.015625
Correct 14.5390625
Correct 15.1640625
Wrong 13.8828125
Wrong 13.7109375
Wrong 13.90625
Correct 14.4296875
Correct 14.1875
Wrong 14.859375
Wrong 13.5703125
Correct 14.3125
Wrong 14.375
Wrong 13.890625
Wrong 13.953125
Correct 14.8828125
Wrong 13.8203125
