grade confidence_level
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.44580078125
Unparseable 0
Unparseable 0
Correct 0.94091796875
Correct 0.529296875
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.53662109375
Wrong 1.5703125
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 1.748046875
Unparseable 0
Wrong 1.025390625
Unparseable 0
Correct 1.22265625
Unparseable 0
Correct 1.7353515625
Unparseable 0
Unparseable 0
Wrong 0.154541015625
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 1.8681640625
Unparseable 0
Unparseable 0
Correct 1.3076171875
Unparseable 0
Correct 1.140625
Unparseable 0
Wrong 0.70556640625
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 1.265625
Correct 2.923828125
Unparseable 0
Unparseable 0
Correct 0.56884765625
Unparseable 0
Unparseable 0
Correct 1.7626953125
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.470947265625
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.54638671875
Unparseable 0
Unparseable 0
Correct 2.197265625
Unparseable 0
Unparseable 0
Correct 0.587890625
Correct 1.2197265625
Wrong 1.4326171875
Wrong 1.4453125
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.53515625
Wrong 2.06640625
Unparseable 0
Unparseable 0
Correct 1.1943359375
Unparseable 0
Unparseable 0
Wrong 0.55419921875
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 2.765625
Wrong 1.8828125
Correct 1.8173828125
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.673828125
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 2.177734375
Correct 0.65185546875
Unparseable 0
Wrong 0.65869140625
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 1.3642578125
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 1.1513671875
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.66455078125
Unparseable 0
Unparseable 0
Wrong 0.6044921875
