grade confidence_level parsing_issue_occurred
Correct 0.9981968998908997 0
Correct 0.9958959221839905 0
Correct 0.6606934666633606 0
Correct 0.6719087958335876 0
Correct 0.6151309609413147 0
Wrong 0.9967920184135437 0
Correct 0.9441312551498413 0
Correct 0.8526269793510437 0
Correct 0.9699270129203796 0
Correct 0.8850270509719849 0
Correct 0.9953354597091675 0
Wrong 0.9851737022399902 0
Correct 0.9570298194885254 0
Wrong 0.8593136072158813 0
Correct 0.9963375926017761 0
Wrong 0.7218820452690125 0
Correct 0.8982958197593689 0
Wrong 0.8948584794998169 0
Correct 0.9970044493675232 0
Correct 0.9791545867919922 0
Correct 0.9707984328269958 0
Wrong 0.884689450263977 0
Correct 0.9988783597946167 0
Correct 0.9976438879966736 0
Correct 0.9963743090629578 0
Wrong 0.7285637259483337 0
Correct 0.7139606475830078 0
Correct 0.9640934467315674 0
Correct 0.9956465363502502 0
Correct 0.9812066555023193 0
Correct 0.9923810958862305 0
Correct 0.9837068915367126 0
Correct 0.6395477056503296 0
Correct 0.9984211921691895 0
Correct 0.9972662925720215 0
Wrong 0.9120325446128845 0
Correct 0.9889904856681824 0
Correct 0.9715698957443237 0
Correct 0.9814406037330627 0
Correct 0.5563020706176758 0
Correct 0.9894251227378845 0
Wrong 0.855344295501709 0
Correct 0.9646334648132324 0
Wrong 0.9821026921272278 0
Wrong 0.9744402170181274 0
Correct 0.6622998714447021 0
Correct 0.9782967567443848 0
Wrong 0.9946407079696655 0
Correct 0.64247727394104 0
Wrong 0.7919904589653015 0
Correct 0.9935051202774048 0
Correct 0.9740133285522461 0
Correct 0.8992794156074524 0
Correct 0.9993907809257507 0
Wrong 0.7492161393165588 0
Correct 0.9304822683334351 0
Wrong 0.8943432569503784 0
Correct 0.991774320602417 0
Correct 0.9894919991493225 0
Wrong 0.5583022236824036 0
Wrong 0.7752115726470947 0
Correct 0.9372036457061768 0
Correct 0.9959387183189392 0
Correct 0.9974814653396606 0
Correct 0.9530705809593201 0
Wrong 0.8821756839752197 0
Correct 0.7335898876190186 0
Correct 0.8895245790481567 0
Correct 0.9989883303642273 0
Correct 0.8962821960449219 0
Correct 0.9906572103500366 0
Wrong 0.9904116988182068 0
Correct 0.9923847913742065 0
Correct 0.9919244647026062 0
Wrong 0.5914557576179504 0
Correct 0.9913547039031982 0
Correct 0.9221319556236267 0
Correct 0.9790960550308228 0
Wrong 0.5271319150924683 0
Correct 0.9804976582527161 0
Correct 0.9915884137153625 0
Correct 0.37148529291152954 0
Correct 0.9993297457695007 0
Correct 0.9226244688034058 0
Correct 0.9577421545982361 0
Correct 0.9609581232070923 0
Wrong 0.5555727481842041 0
Correct 0.9865833520889282 0
Correct 0.8146809935569763 0
Wrong 0.5468852519989014 0
Wrong 0.9892739653587341 0
Correct 0.9974403977394104 0
Correct 0.7118126749992371 0
Correct 0.8926305770874023 0
Correct 0.9058963060379028 0
Correct 0.8256204128265381 0
Correct 0.9935874342918396 0
Wrong 0.4602929949760437 0
Correct 0.9495640397071838 0
Wrong 0.9958489537239075 0
Correct 0.8397369384765625 0
Correct 0.9915517568588257 0
Correct 0.9682615995407104 0
Wrong 0.44871681928634644 0
Wrong 0.8606197834014893 0
Wrong 0.7485934495925903 0
Correct 0.9874687194824219 0
Correct 0.9115258455276489 0
Wrong 0.6284725666046143 0
Correct 0.9647714495658875 0
Correct 0.978367269039154 0
Wrong 0.6948039531707764 0
Correct 0.9926401972770691 0
Correct 0.6969359517097473 0
Correct 0.949052095413208 0
Correct 0.9892895221710205 0
Correct 0.9993938207626343 0
Correct 0.8726116418838501 0
Correct 0.5721913576126099 0
Correct 0.9743435978889465 0
Correct 0.9976236820220947 0
Correct 0.9983927607536316 0
Correct 0.9992453455924988 0
Correct 0.9917616248130798 0
Wrong 0.9939870238304138 0
Correct 0.9885929822921753 0
Correct 0.9810908436775208 0
