grade confidence_level parsing_issue_occurred
Wrong 0.7003658413887024 0
Wrong 0.6994048357009888 0
Correct 0.9663882851600647 0
Wrong 0.4709693491458893 1
Wrong 0.6737383008003235 1
Wrong 0.5734379887580872 0
Correct 0.6232044696807861 0
Correct 0.5314237475395203 1
Correct 0.8098924160003662 0
Wrong 0.4337717294692993 1
Correct 0.9093754887580872 1
Correct 0.615871787071228 2
Correct 0.668475329875946 0
Wrong 0.558648407459259 0
Wrong 0.4418674409389496 0
Wrong 0.7463748455047607 0
Correct 0.7840939164161682 0
Correct 0.9999927282333374 3
Correct 0.8397730588912964 0
Wrong 0.878503680229187 0
Correct 0.4200783669948578 0
Wrong 0.6175811886787415 0
Correct 0.5444437861442566 0
Wrong 0.6219648122787476 0
Correct 0.6259539723396301 0
Wrong 0.43133193254470825 0
Wrong 0.6330336332321167 0
Wrong 0.5501108765602112 0
Wrong 0.6742960214614868 0
Correct 0.6146450042724609 0
Wrong 0.829875648021698 1
Wrong 0.3601745367050171 0
Wrong 0.3531666398048401 0
Correct 0.8119873404502869 1
Correct 0.732033908367157 0
Correct 0.29626646637916565 0
Wrong 0.4428083002567291 0
Wrong 0.6134182810783386 1
Correct 0.988394021987915 1
Correct 0.3689286410808563 0
Correct 0.9234118461608887 0
Wrong 0.491451621055603 0
Wrong 0.7714874148368835 0
Wrong 0.31574487686157227 0
Correct 0.9929251670837402 3
Wrong 0.47624221444129944 0
Wrong 0.8604163527488708 0
Correct 0.9965636134147644 3
Correct 0.7995032072067261 3
Wrong 0.4516731798648834 0
Correct 0.3547230362892151 0
Correct 0.6893972158432007 3
Wrong 0.49126121401786804 3
Wrong 0.9023293256759644 3
Correct 0.6498077511787415 0
Wrong 0.7752830386161804 0
Wrong 0.5149567127227783 3
Correct 0.5184837579727173 1
Wrong 0.9559419751167297 3
Wrong 0.4627339839935303 2
Correct 0.5557865500450134 0
Correct 0.8087263107299805 0
Correct 0.3129698634147644 0
Wrong 0.8819229006767273 0
Correct 0.5131610631942749 0
Correct 0.80218106508255 0
Correct 0.4772842228412628 0
Correct 0.9838215112686157 1
Wrong 0.912020742893219 1
Correct 0.49285808205604553 3
Wrong 0.8309972286224365 1
Wrong 0.8383062481880188 0
Wrong 0.6174652576446533 0
Wrong 0.5076241493225098 2
Correct 0.8858662843704224 0
Wrong 0.5833886861801147 0
Correct 0.988252580165863 3
Wrong 0.36351916193962097 0
Correct 0.41201791167259216 2
Wrong 0.5597421526908875 0
Correct 0.7587281465530396 1
Correct 0.9978612065315247 3
Wrong 0.5330249667167664 0
Correct 0.8543767929077148 0
Wrong 0.8154146671295166 0
Wrong 0.5503178834915161 0
Correct 0.7671486735343933 1
Wrong 0.638722836971283 2
Correct 0.8975335359573364 3
Correct 0.39513108134269714 0
Correct 0.6383990049362183 0
Correct 0.9093453288078308 0
Wrong 0.37501755356788635 0
Wrong 0.44158899784088135 0
Wrong 0.6523370742797852 0
Wrong 0.41717445850372314 0
Correct 0.9664770364761353 3
Wrong 0.6381568312644958 0
Wrong 0.4898150861263275 0
Correct 0.4567922055721283 0
Wrong 0.8625985383987427 0
Correct 0.3636654019355774 0
Wrong 0.9323218464851379 0
Wrong 0.8108556866645813 0
Correct 0.7881736159324646 0
Wrong 0.6708410382270813 1
Wrong 0.5998044610023499 0
Wrong 0.5233888030052185 3
Correct 0.5931412577629089 0
Correct 0.9016781449317932 0
Correct 0.8402413725852966 0
