grade confidence_level parsing_issue_occurred
Correct 38.65625 0
Correct 38.375 0
Correct 35.15625 0
Correct 37.40625 0
Correct 35.625 0
Wrong 36.71875 0
Correct 38.21875 0
Correct 34.9375 1
Correct 40.625 0
Correct 41.53125 0
Correct 32.78125 0
Correct 34.875 0
Correct 37.3125 0
Correct 41.59375 0
Correct 36.9375 0
Correct 33.25 0
Wrong 37.6875 0
Correct 38.03125 0
Correct 39.0 0
Correct 42.625 0
Correct 39.46875 0
Correct 39.6875 0
Correct 45.3125 0
Correct 40.0625 0
Correct 42.53125 0
Correct 39.4375 0
Correct 46.4375 0
Correct 38.8125 0
Correct 35.40625 0
Correct 46.34375 0
Correct 42.28125 0
Correct 43.4375 0
Correct 41.875 0
Correct 43.0625 0
Correct 47.4375 0
Correct 38.0 0
Correct 42.90625 0
Correct 44.375 0
Correct 35.28125 0
Correct 44.65625 0
Correct 37.125 0
Wrong 36.34375 0
Correct 40.65625 0
Correct 35.5 0
Wrong 43.46875 0
Correct 32.6875 3
Correct 37.40625 0
Correct 37.65625 0
Correct 34.96875 0
Correct 31.96875 0
Correct 33.1875 0
Correct 40.4375 0
Correct 42.25 0
Correct 37.90625 0
Correct 40.25 0
Wrong 35.21875 0
Correct 40.84375 0
Correct 44.9375 0
Correct 40.375 0
Wrong 40.53125 0
Wrong 38.875 0
Correct 38.9375 0
Correct 35.65625 0
Correct 34.5 0
Correct 39.59375 0
Wrong 43.28125 0
Correct 40.125 0
Correct 32.6875 0
Correct 42.0 0
Correct 38.125 0
Correct 36.8125 0
Correct 35.9375 0
Correct 35.34375 0
Correct 42.625 0
Correct 40.0625 0
Correct 44.71875 0
Correct 39.9375 0
Correct 39.1875 0
Correct 42.90625 0
Correct 39.6875 0
Correct 43.78125 0
Correct 44.53125 0
Correct 41.875 0
Correct 43.5625 0
Correct 38.34375 0
Wrong 37.5625 0
Wrong 36.96875 0
Correct 36.71875 0
Correct 37.71875 0
Correct 37.5 0
Correct 35.25 0
Correct 43.40625 0
Correct 45.03125 0
Correct 35.34375 0
Correct 40.8125 0
Correct 46.15625 0
Correct 38.8125 0
Wrong 37.28125 0
Correct 34.5625 0
Wrong 34.25 0
Correct 39.5625 0
Correct 44.40625 0
Correct 43.34375 0
Correct 44.125 0
Wrong 35.28125 0
Correct 40.65625 0
Correct 47.40625 0
Correct 34.75 0
Correct 37.09375 0
Wrong 32.15625 0
Correct 42.90625 0
Correct 40.71875 0
Correct 36.96875 0
Correct 39.71875 0
Correct 38.71875 0
Correct 46.15625 0
Correct 36.28125 0
Correct 45.5625 0
Wrong 27.25 0
Correct 42.375 0
Correct 42.8125 0
Correct 36.59375 0
Correct 37.28125 0
Correct 32.625 0
Wrong 34.09375 0
Correct 37.34375 0
Correct 39.53125 0
Correct 41.09375 0
Correct 36.3125 0
Wrong 36.46875 3
Correct 40.40625 0
Correct 42.40625 0
Correct 36.0625 0
Correct 45.34375 0
Correct 39.875 0
Correct 33.96875 0
Wrong 36.09375 0
Wrong 35.34375 0
Correct 39.9375 0
Correct 38.375 0
Correct 37.125 0
Correct 32.25 0
Wrong 27.265625 0
Correct 39.5625 0
Correct 34.34375 0
Correct 44.53125 0
Correct 40.84375 0
Correct 31.375 0
Correct 28.484375 0
Wrong 39.71875 0
Correct 46.09375 0
Correct 35.28125 0
Correct 41.375 0
Correct 46.71875 0
Correct 34.25 0
Correct 40.3125 0
Correct 43.75 0
Correct 37.21875 0
Correct 36.90625 0
Correct 40.84375 0
Correct 48.40625 0
Wrong 34.65625 0
Correct 41.59375 0
Correct 42.84375 0
Correct 37.375 0
Correct 42.125 0
Correct 46.25 0
Correct 42.375 0
Correct 44.34375 0
Correct 39.03125 0
Correct 40.40625 0
Correct 35.625 0
Correct 39.75 0
Wrong 38.25 0
Correct 36.25 0
Correct 31.21875 0
Correct 46.25 0
Correct 40.65625 0
Correct 44.1875 0
Correct 37.21875 0
Correct 39.875 0
Correct 45.4375 0
Wrong 32.4375 0
Correct 39.0 0
Wrong 29.765625 0
Correct 45.75 0
Correct 39.3125 0
Correct 45.0625 0
Correct 44.25 0
Correct 39.90625 0
Correct 39.28125 0
Wrong 40.25 0
Correct 41.125 0
Wrong 42.0 0
Correct 41.15625 0
Correct 37.78125 0
Correct 38.1875 0
Correct 44.0625 0
Correct 31.453125 0
Correct 36.96875 0
Correct 31.78125 0
Correct 46.5 0
Correct 40.625 0
Wrong 42.59375 0
Correct 38.46875 0
Wrong 38.125 0
Correct 46.15625 0
Correct 41.96875 0
Correct 43.46875 0
Correct 41.21875 0
Correct 36.6875 0
Correct 36.15625 0
Correct 36.9375 0
Correct 37.53125 0
Correct 47.5 0
Wrong 43.1875 0
Correct 33.28125 0
Correct 41.75 0
Correct 38.34375 0
Wrong 31.203125 0
Correct 39.125 0
Wrong 43.15625 0
Correct 36.3125 0
Wrong 30.625 1
Correct 39.84375 0
Wrong 35.15625 0
Correct 47.46875 0
Correct 42.875 0
Wrong 39.40625 0
Correct 42.9375 0
Correct 39.0 0
Correct 31.09375 0
Correct 36.34375 1
Correct 39.78125 0
Wrong 34.40625 0
Correct 45.03125 0
Correct 36.125 0
Wrong 23.796875 0
Wrong 38.46875 0
Wrong 28.1875 1
Correct 40.46875 0
Correct 49.28125 0
Correct 40.8125 0
Correct 31.8125 0
Correct 36.78125 0
Wrong 42.71875 0
Correct 32.90625 0
Wrong 43.71875 0
Correct 35.15625 3
Correct 37.1875 0
Wrong 40.03125 0
Wrong 42.71875 0
Correct 41.75 0
Wrong 40.1875 0
Correct 38.53125 0
Correct 41.15625 0
Correct 40.15625 0
Correct 46.78125 0
Wrong 48.25 0
Correct 37.5625 0
