grade confidence_level parsing_issue_occurred
Correct 33.625 0
Correct 29.59375 0
Wrong 27.40625 0
Correct 25.953125 0
Correct 29.5 0
Correct 25.953125 0
Correct 28.078125 0
Correct 26.59375 0
Correct 28.3125 0
Correct 32.34375 0
Correct 30.40625 0
Correct 25.78125 0
Correct 31.1875 0
Correct 30.0 0
Correct 32.0625 0
Wrong 29.5625 0
Correct 23.203125 0
Correct 23.125 0
Correct 20.171875 0
Correct 33.8125 0
Wrong 23.796875 0
Correct 31.015625 0
Correct 30.46875 0
Wrong 17.671875 1
Correct 29.53125 0
Correct 31.09375 0
Correct 29.671875 0
Correct 31.71875 0
Correct 30.5 0
Correct 28.6875 0
Correct 34.3125 0
Correct 33.59375 0
Correct 33.9375 0
Correct 27.1875 0
Correct 32.875 0
Correct 26.5 0
Correct 27.78125 0
Wrong 20.203125 0
Correct 33.15625 0
Wrong 30.0 0
Correct 29.734375 0
Wrong 29.859375 0
Correct 32.3125 0
Correct 30.171875 0
Wrong 30.125 0
Correct 31.390625 0
Correct 29.484375 0
Wrong 24.328125 0
Correct 32.28125 0
Wrong 25.734375 0
Correct 32.09375 0
Correct 31.328125 0
Correct 31.71875 0
Correct 36.53125 0
Wrong 26.65625 0
Wrong 30.0 0
Correct 33.6875 0
Correct 34.03125 0
Correct 26.953125 0
Wrong 29.8125 0
Wrong 29.734375 0
Correct 28.15625 0
Wrong 28.109375 0
Correct 28.96875 0
Correct 32.96875 0
Wrong 33.0 0
Correct 24.359375 0
Correct 28.328125 0
Correct 31.875 0
Correct 30.1875 0
Correct 24.140625 0
Correct 26.890625 0
Correct 31.0625 0
Correct 33.28125 0
Wrong 30.5 0
Correct 28.640625 0
Correct 32.5 0
Correct 29.96875 0
Correct 31.796875 0
Correct 32.03125 0
Correct 30.921875 0
Wrong 19.5 0
Correct 32.5 0
Correct 29.390625 0
Correct 30.34375 0
Wrong 24.828125 0
Wrong 27.859375 0
Correct 25.1875 0
Correct 29.890625 0
Correct 32.9375 0
Correct 25.75 0
Correct 31.390625 0
Correct 29.203125 0
Correct 31.6875 0
Correct 28.328125 0
Correct 31.375 0
Correct 29.78125 0
Correct 17.6875 0
Correct 32.59375 0
Wrong 29.375 0
Correct 30.703125 0
Correct 30.484375 0
Correct 34.75 0
Correct 27.859375 0
Wrong 24.28125 0
Correct 21.984375 0
Correct 31.09375 0
Correct 28.140625 0
Correct 30.671875 0
Correct 25.0625 0
Correct 31.390625 0
Wrong 27.3125 0
Correct 30.984375 0
Wrong 26.96875 0
Correct 28.15625 0
Correct 32.15625 0
Correct 33.03125 0
Correct 28.5 0
Correct 31.296875 0
Correct 31.53125 0
Correct 29.578125 0
Correct 32.71875 0
Correct 27.765625 0
Correct 29.734375 0
Wrong 28.734375 0
Correct 32.5625 0
Correct 26.6875 0
Wrong 30.734375 0
Correct 33.53125 0
Correct 25.578125 0
Correct 29.328125 0
Correct 33.375 0
Correct 30.25 0
Correct 34.15625 0
Correct 32.21875 0
Correct 28.3125 0
Wrong 25.671875 0
Correct 27.859375 0
Correct 21.625 0
Wrong 24.03125 0
Correct 25.0 0
Correct 26.25 0
Wrong 24.3125 0
Correct 25.203125 0
Correct 33.375 0
Correct 30.15625 0
Correct 31.984375 0
Correct 28.078125 0
Correct 31.703125 0
Correct 25.921875 0
Wrong 31.21875 0
Correct 30.1875 0
Correct 35.09375 0
Correct 30.90625 0
Correct 26.34375 0
Correct 30.65625 0
Correct 17.421875 0
Correct 27.625 0
Correct 22.484375 0
Correct 32.09375 0
Correct 33.59375 0
Wrong 28.015625 0
Correct 28.53125 0
Correct 33.21875 0
Correct 31.515625 0
Correct 28.28125 0
Correct 27.484375 0
Correct 32.5 0
Correct 30.9375 0
Correct 30.59375 0
Correct 27.25 0
Correct 27.421875 0
Correct 29.078125 0
Wrong 25.0 0
Correct 26.78125 0
Correct 22.875 0
Correct 25.453125 0
Correct 35.03125 0
Correct 27.09375 0
Correct 29.609375 0
Wrong 31.84375 0
Wrong 23.859375 0
Correct 34.9375 0
Correct 30.453125 0
Correct 29.109375 0
Correct 28.671875 0
Correct 29.75 0
Correct 32.8125 0
Correct 25.234375 0
Correct 34.4375 0
Correct 28.9375 0
Wrong 26.4375 0
Correct 27.609375 0
Correct 29.90625 0
Correct 22.359375 0
Correct 29.6875 0
Correct 36.0 0
Wrong 27.328125 0
Wrong 24.40625 2
Correct 31.546875 0
Correct 23.171875 1
Correct 31.15625 0
Correct 32.625 0
Correct 22.71875 0
Correct 28.96875 0
Correct 27.40625 0
Correct 29.203125 0
Correct 28.90625 0
Correct 30.15625 0
Correct 28.296875 0
Correct 31.328125 0
Wrong 32.0625 0
Correct 28.109375 0
Correct 31.921875 0
Correct 30.671875 0
Correct 29.46875 0
Wrong 26.390625 0
Correct 29.984375 0
Correct 29.6875 0
Wrong 27.296875 0
Correct 22.953125 0
Correct 29.140625 0
Correct 32.59375 0
Wrong 23.890625 0
Correct 29.703125 0
Wrong 24.375 0
Correct 22.0 0
Correct 30.0625 0
Correct 32.25 0
Wrong 28.671875 0
Correct 29.328125 0
Correct 25.828125 0
Correct 30.140625 0
Correct 31.578125 0
Wrong 30.09375 0
Correct 32.96875 0
