grade confidence_level parsing_issue_occurred
Wrong 0.1526995450258255 1
Correct 0.3183995485305786 1
Wrong 0.19796785712242126 1
Wrong 0.5011780261993408 1
Wrong 0.1698399931192398 1
Wrong 0.24295546114444733 1
Wrong 0.2616843581199646 1
Wrong 0.15710921585559845 1
Wrong 0.21986635029315948 1
Wrong 0.2060239464044571 1
Correct 0.241095170378685 1
Wrong 0.4281441271305084 3
Correct 0.28086531162261963 1
Correct 0.18323363363742828 1
Correct 0.25370535254478455 1
Wrong 0.17099051177501678 1
Correct 0.4663378894329071 3
Correct 0.18142592906951904 1
Wrong 0.3521062135696411 3
Wrong 0.24903757870197296 1
Correct 0.31358861923217773 3
Wrong 0.20153272151947021 1
Correct 0.20220454037189484 1
Wrong 0.2977454662322998 3
Correct 0.6586209535598755 3
Correct 0.30112963914871216 1
Wrong 0.3288949728012085 3
Correct 0.266573429107666 1
Wrong 0.27160778641700745 1
Correct 0.2119493931531906 1
Correct 0.17964887619018555 1
Wrong 0.20381832122802734 1
Correct 0.6459086537361145 3
Correct 0.5079966187477112 3
Wrong 0.2804446816444397 3
Correct 0.4449668228626251 3
Wrong 0.23264966905117035 1
Wrong 0.22979189455509186 1
Wrong 0.20319099724292755 1
Wrong 0.20330049097537994 1
Wrong 0.38720619678497314 3
Wrong 0.22826503217220306 1
Wrong 0.37102010846138 3
Correct 0.318206250667572 1
Wrong 0.2966919541358948 3
Wrong 0.24491235613822937 1
Wrong 0.2532983124256134 1
Wrong 0.19569186866283417 1
Correct 0.22206927835941315 1
Wrong 0.32996800541877747 1
Wrong 0.7987187504768372 3
Correct 0.18734019994735718 1
Correct 0.24484817683696747 1
Correct 0.21077029407024384 1
Correct 0.23955857753753662 1
Correct 0.15192510187625885 1
Correct 0.36972519755363464 3
Wrong 0.19073104858398438 1
Wrong 0.2288902848958969 1
Wrong 0.3722394108772278 3
Wrong 0.3422544300556183 1
Correct 0.29033327102661133 1
Wrong 0.4322584271430969 3
Correct 0.39840275049209595 3
Correct 0.2050708830356598 1
Correct 0.2789764106273651 1
Correct 0.312014102935791 1
Correct 0.2987911105155945 1
Wrong 0.21540886163711548 1
Wrong 0.18060080707073212 1
Wrong 0.1818944811820984 1
Wrong 0.16544711589813232 1
Wrong 0.24213962256908417 1
Wrong 0.13761097192764282 1
Wrong 0.1828550398349762 1
Correct 0.22470329701900482 1
Correct 0.46280497312545776 3
Wrong 0.2986040711402893 1
Wrong 0.1830841600894928 1
Wrong 0.21951596438884735 1
Correct 0.21299435198307037 1
Wrong 0.40822893381118774 3
Correct 0.22875528037548065 1
Wrong 0.19068530201911926 1
Wrong 0.21041975915431976 1
Wrong 0.4705924391746521 3
Wrong 0.4338134229183197 3
Correct 0.25515374541282654 1
Wrong 0.4248412251472473 3
Wrong 0.25294744968414307 1
Wrong 0.21192793548107147 1
Wrong 0.3785065710544586 3
Correct 0.3644091486930847 1
Correct 0.5917645692825317 3
Correct 0.5308079123497009 1
Correct 0.34557193517684937 1
Correct 0.3371497690677643 1
Correct 0.25737956166267395 1
Correct 0.18417206406593323 1
Wrong 0.2439108043909073 1
Wrong 0.20427486300468445 1
Wrong 0.20373938977718353 1
Correct 0.29209741950035095 1
Wrong 0.18167835474014282 1
Wrong 0.305540531873703 3
Wrong 0.21037642657756805 1
Correct 0.37834587693214417 3
Correct 0.2662610113620758 1
Wrong 0.40668439865112305 3
Correct 0.36080917716026306 3
Wrong 0.20651806890964508 1
Correct 0.5436885952949524 3
Wrong 0.3170889914035797 1
Wrong 0.172532320022583 1
Wrong 0.22083893418312073 1
Correct 0.18791921436786652 1
Correct 0.28288039565086365 1
Correct 0.1861869990825653 1
Wrong 0.1535693109035492 1
Wrong 0.39198392629623413 3
Wrong 0.22401343286037445 1
Correct 0.26493197679519653 1
Correct 0.23457133769989014 1
Wrong 0.18772514164447784 1
Correct 0.38002365827560425 1
Wrong 0.18041566014289856 1
Wrong 0.17972783744335175 1
Correct 0.21942533552646637 1
Correct 0.4623858332633972 3
Wrong 0.20838844776153564 1
Correct 0.2894655466079712 1
Wrong 0.29614195227622986 1
Wrong 0.37445223331451416 3
Wrong 0.2032718062400818 1
Wrong 0.24263979494571686 1
Wrong 0.22678321599960327 1
Wrong 0.2953982353210449 3
Correct 0.432855486869812 3
Wrong 0.2796045243740082 1
Correct 0.29478326439857483 1
Correct 0.4534810483455658 1
Wrong 0.39394083619117737 3
Correct 0.29554659128189087 3
Correct 0.28877052664756775 1
Wrong 0.34108832478523254 3
Correct 0.3427469730377197 1
Correct 0.2197050154209137 1
Wrong 0.5611231923103333 3
Correct 0.6327928304672241 3
Correct 0.4226821959018707 1
Correct 0.21966850757598877 1
Correct 0.22359956800937653 1
Wrong 0.2589605748653412 1
Wrong 0.2563749849796295 1
Wrong 0.16812826693058014 1
Wrong 0.17983201146125793 1
Correct 0.2692111134529114 1
Correct 0.2602022588253021 1
Correct 0.2584948241710663 1
Correct 0.22945497930049896 1
Wrong 0.25220856070518494 1
Wrong 0.282870888710022 1
Wrong 0.2699231207370758 1
Wrong 0.20303596556186676 1
Correct 0.1964370310306549 1
Wrong 0.17674671113491058 1
Wrong 0.20918534696102142 1
Correct 0.24410736560821533 1
Wrong 0.3912056088447571 3
Wrong 0.2190636843442917 1
Wrong 0.30319732427597046 3
Correct 0.20857086777687073 1
Wrong 0.26050448417663574 3
Wrong 0.17674709856510162 1
Wrong 0.47727105021476746 3
Wrong 0.22372965514659882 1
Correct 0.24755103886127472 1
Correct 0.25493842363357544 1
Correct 0.6255154609680176 3
Wrong 0.3311544954776764 1
Wrong 0.32117152214050293 1
Correct 0.18891242146492004 1
Wrong 0.3237016201019287 3
Wrong 0.6201335191726685 3
Correct 0.28671014308929443 1
Correct 0.27733492851257324 3
Correct 0.33994150161743164 3
Correct 0.47468701004981995 3
Correct 0.6424375176429749 3
Wrong 0.2661494314670563 1
Correct 0.22050413489341736 1
Wrong 0.20443852245807648 1
Correct 0.28546857833862305 1
Correct 0.26688364148139954 1
Wrong 0.30054813623428345 1
Correct 0.5350520610809326 3
Wrong 0.1850401908159256 1
Wrong 0.3483571410179138 3
Correct 0.4798669219017029 3
Wrong 0.32352185249328613 3
Wrong 0.1863289177417755 1
Correct 0.3253592550754547 3
Wrong 0.3379749357700348 3
Correct 0.3667810559272766 1
Correct 0.6279187202453613 3
Wrong 0.46294477581977844 3
Wrong 0.4756125509738922 3
Wrong 0.2202410250902176 1
Wrong 0.460368275642395 3
Correct 0.26189908385276794 1
Wrong 0.2536250352859497 1
Correct 0.2434392124414444 1
Correct 0.3533135950565338 3
Wrong 0.33554401993751526 3
Correct 0.48605385422706604 3
Wrong 0.23014365136623383 1
Correct 0.31628960371017456 1
Wrong 0.2255600392818451 1
Wrong 0.25222641229629517 1
Correct 0.21663162112236023 1
Wrong 0.20011872053146362 1
Wrong 0.18990562856197357 1
Wrong 0.16678380966186523 1
Correct 0.18075205385684967 1
Wrong 0.2429610639810562 1
Correct 0.2047259509563446 1
Wrong 0.3218322694301605 3
Wrong 0.30704888701438904 1
Wrong 0.22913974523544312 1
Wrong 0.22542278468608856 1
Correct 0.30111879110336304 1
Wrong 0.25253912806510925 1
Correct 0.37369996309280396 3
Correct 0.4049241840839386 3
Correct 0.25076791644096375 1
Wrong 0.3978070914745331 3
Wrong 0.23300445079803467 1
Wrong 0.2775523066520691 1
Correct 0.23304474353790283 1
Wrong 0.22729037702083588 1
Wrong 0.250375360250473 1
Correct 0.20471952855587006 1
Wrong 0.30104371905326843 1
Correct 0.274372935295105 1
Wrong 0.20758309960365295 1
Wrong 0.2359875589609146 1
Wrong 0.2395334094762802 1
Correct 0.1949077546596527 1
Correct 0.32850781083106995 1
Wrong 0.23730741441249847 1
Correct 0.37626370787620544 1
Wrong 0.3089075982570648 3
Correct 0.25377410650253296 1
Correct 0.28397810459136963 1
Wrong 0.1859387904405594 1
