grade confidence_level parsing_issue_occurred
Wrong 0.6858450174331665 1
Correct 0.9974204301834106 1
Correct 0.9775302410125732 1
Wrong 0.8193734288215637 1
Wrong 0.9548895359039307 0
Wrong 0.9992315173149109 1
Wrong 0.36273565888404846 0
Wrong 0.8548020720481873 1
Correct 0.5317025184631348 1
Correct 0.772342324256897 1
Correct 0.7714211940765381 1
Correct 0.82215815782547 1
Correct 0.9111955761909485 0
Correct 0.9978652000427246 1
Correct 0.9796350598335266 1
Correct 0.9628608822822571 1
Correct 0.5065344572067261 1
Wrong 0.52630615234375 1
Wrong 0.986223042011261 1
Wrong 0.7540634870529175 1
Correct 0.9992895126342773 1
Wrong 0.9770821928977966 1
Wrong 0.9931721091270447 1
Correct 0.4938708245754242 1
Correct 0.5409849286079407 0
Correct 0.9997402429580688 1
Correct 0.5269249677658081 1
Correct 0.96489018201828 1
Correct 0.9596153497695923 1
Wrong 0.5840891003608704 1
Wrong 0.9951223134994507 1
Correct 0.525455892086029 0
Wrong 0.9113268852233887 1
Wrong 0.36158454418182373 0
Wrong 0.5714952945709229 1
Wrong 0.599781334400177 1
Correct 0.6668441295623779 1
Correct 0.5182886123657227 0
Wrong 0.5507427453994751 0
Wrong 0.9885357618331909 1
Wrong 0.8630630373954773 1
Wrong 0.3311080038547516 0
Correct 0.9768373966217041 1
Correct 0.9998916983604431 1
Wrong 0.973730206489563 1
Wrong 0.7266375422477722 1
Correct 0.9913532137870789 1
Wrong 0.9863700270652771 1
Wrong 0.9384803175926208 1
Wrong 0.7720442414283752 1
Wrong 0.815586507320404 1
Wrong 0.9944601058959961 1
Correct 0.528020441532135 1
Wrong 0.5164816379547119 1
Wrong 0.6012260317802429 1
Correct 0.9397798776626587 1
Correct 0.7329403162002563 1
Wrong 0.9999301433563232 1
Wrong 0.9147548675537109 1
Wrong 0.8403319716453552 1
Correct 0.922929048538208 1
Correct 0.9999788403511047 1
Wrong 0.5868536233901978 0
Correct 0.9348066449165344 0
Correct 0.9646246433258057 0
Wrong 0.674073338508606 1
Wrong 0.8390554189682007 0
Wrong 0.5948781371116638 0
Wrong 0.7209685444831848 1
Correct 0.6789406538009644 0
Correct 0.9583913683891296 0
Correct 0.7688880562782288 0
Wrong 0.7857198715209961 1
Wrong 0.9844216704368591 1
Correct 0.9993100762367249 1
Wrong 0.9734800457954407 1
Wrong 0.5814439058303833 0
Wrong 0.5740375518798828 1
Wrong 0.9707871675491333 1
Wrong 0.5375161170959473 1
Correct 0.6933188438415527 1
Correct 0.8025733828544617 1
Correct 0.5597031116485596 1
Wrong 0.4657028913497925 1
Wrong 0.9251499772071838 1
Correct 0.7126352787017822 1
Correct 0.9999406337738037 1
Wrong 0.7813656330108643 1
Wrong 0.5551077127456665 0
Wrong 0.5255920886993408 1
Correct 0.8925881385803223 1
Correct 0.48266473412513733 0
Correct 0.517672061920166 0
Wrong 0.9463606476783752 1
Correct 0.9983598589897156 1
Wrong 0.8126485347747803 1
Correct 0.6112823486328125 0
Wrong 0.990623950958252 1
