grade confidence_level parsing_issue_occurred
Correct 0.9620094895362854 0
Correct 0.9040120840072632 0
Correct 0.7706698179244995 0
Wrong 0.3971247673034668 0
Correct 0.7552359104156494 0
Wrong 0.5282650589942932 0
Correct 0.6797778010368347 0
Wrong 0.8816884756088257 0
Correct 0.9523543119430542 0
Correct 0.7391838431358337 0
Wrong 0.5148455500602722 0
Wrong 0.5482328534126282 0
Wrong 0.4360782206058502 0
Correct 0.8455098271369934 0
Correct 0.9999049305915833 0
Correct 0.5306492447853088 2
Wrong 0.3394068777561188 0
Correct 0.9124758839607239 0
Correct 0.9810439944267273 0
Correct 0.9879520535469055 0
Wrong 0.7361286878585815 0
Wrong 0.34340396523475647 0
Correct 0.33540165424346924 0
Wrong 0.8158683180809021 0
Correct 0.45352065563201904 0
Wrong 0.4148298501968384 0
Correct 0.5047635436058044 2
Wrong 0.9934948086738586 0
Correct 0.9309412837028503 0
Correct 0.5888750553131104 0
Wrong 0.37554165720939636 2
Wrong 0.8236493468284607 0
Correct 0.9500123858451843 0
Correct 0.9982560276985168 0
Correct 0.4539017975330353 0
Correct 0.4574107527732849 0
Wrong 0.377939373254776 0
Wrong 0.6013729572296143 0
Correct 0.8278920650482178 0
Correct 0.8942177295684814 0
Correct 0.9731166362762451 0
Wrong 0.474761426448822 0
Correct 0.8350978493690491 0
Wrong 0.5180383324623108 0
Wrong 0.5856609344482422 0
Correct 0.998913049697876 0
Correct 0.9903349876403809 0
Correct 0.6964163184165955 0
Wrong 0.42345181107521057 0
Correct 0.9242003560066223 0
Correct 0.6329202651977539 0
Correct 0.999024510383606 0
Wrong 0.47282975912094116 0
Wrong 0.6198210120201111 0
Correct 0.421679824590683 0
Wrong 0.5945829153060913 2
Correct 0.9997891783714294 0
Wrong 0.7703140377998352 0
Correct 0.9555525183677673 0
Correct 0.7600027322769165 0
Wrong 0.3545590937137604 0
Correct 0.9999294877052307 0
Correct 0.9997932314872742 0
Correct 0.7291075587272644 0
Correct 0.9991316199302673 0
Correct 0.6073529124259949 0
Correct 0.8763350248336792 0
Correct 0.7855272889137268 0
Correct 0.4054121971130371 0
Correct 0.9946299195289612 0
Wrong 0.8046952486038208 0
Wrong 0.5035297274589539 0
Correct 0.6087124943733215 0
Correct 0.6457291841506958 0
Correct 0.6443397998809814 0
Wrong 0.9184859991073608 0
Correct 0.8954045176506042 0
Wrong 0.4636528193950653 0
Wrong 0.9328758716583252 0
Wrong 0.4760064482688904 0
Wrong 0.6539339423179626 0
Wrong 0.5441914200782776 0
Wrong 0.7855871915817261 2
