grade confidence_level parsing_issue_occurred
Wrong 0.9947353005409241 0
Correct 0.9996945261955261 0
Correct 0.596003532409668 0
Correct 0.000160910640261136 0
Correct 6.404389409908617e-07 0
Wrong 0.9885096549987793 0
Correct 0.9896308779716492 0
Wrong 0.0007852433482185006 0
Correct 0.994370698928833 0
Correct 0.9982701539993286 0
Correct 0.9557013511657715 0
Correct 0.9981305599212646 0
Correct 0.9988387823104858 0
Correct 9.521829547054494e-09 0
Correct 0.9989259243011475 0
Correct 0.9997663497924805 0
Wrong 0.03685973584651947 0
Correct 0.9999596476554871 0
Wrong 2.19917395405389e-09 0
Correct 0.9998202323913574 0
Correct 0.9989426732063293 0
Wrong 3.368656395497105e-11 0
Correct 3.007383142517028e-08 0
Unparseable 1.632166117815359e-07 4
Correct 0.9986743330955505 0
Wrong 3.798716079472797e-06 0
Wrong 4.3333320718375035e-06 0
Correct 0.999660313129425 0
Correct 0.8871960639953613 1
Wrong 0.30789467692375183 0
Correct 2.944550578831695e-05 0
Correct 8.783928251432371e-09 0
Wrong 2.696149977055029e-06 0
Wrong 2.027212394750677e-05 0
Wrong 0.8260799646377563 0
Wrong 0.9996238350868225 0
Correct 0.99833744764328 0
Correct 0.9666893482208252 0
Wrong 1.3259403885967913e-07 0
Wrong 0.00021509869839064777 0
Correct 0.9966697692871094 0
Correct 6.47297113687273e-08 0
Correct 0.9618604183197021 0
Correct 0.9959360361099243 0
Wrong 9.260160709345655e-07 0
Correct 0.09345639497041702 0
Wrong 0.9863296151161194 0
Wrong 0.8928682208061218 0
Wrong 1.8453472875989974e-05 0
Wrong 0.8880921006202698 0
Wrong 0.41920387744903564 0
Wrong 2.6544819775153883e-05 0
Wrong 0.0002084325096802786 0
Wrong 3.1106437425876265e-09 0
Wrong 3.192360281900619e-06 0
Correct 0.9970632791519165 0
Wrong 0.9586378931999207 0
Correct 0.001329791615717113 0
Wrong 0.9708945751190186 0
Correct 0.9680421948432922 0
Wrong 0.9983015060424805 0
Correct 0.965175986289978 0
Correct 0.9999948740005493 0
Correct 0.904157280921936 0
Correct 0.999289870262146 0
Correct 0.9810354113578796 0
Correct 0.9993846416473389 0
Wrong 1.8068546658867035e-10 0
Wrong 0.7944412231445312 0
Correct 0.99986332654953 0
Correct 0.9927093386650085 0
Correct 2.202323940991846e-07 0
Wrong 9.778528209380966e-09 0
Wrong 0.000100271514384076 0
Correct 0.6151437759399414 0
Wrong 0.9983763098716736 0
Wrong 0.9917600154876709 0
