grade confidence_level parsing_issue_occurred
Wrong 28.015625 0
Correct 29.53125 0
Correct 26.0 0
Wrong 27.8125 0
Wrong 23.015625 0
Wrong 26.03125 0
Wrong 22.859375 0
Correct 26.09375 0
Correct 28.0 0
Correct 26.40625 0
Correct 21.1875 0
Wrong 24.03125 0
Correct 26.828125 0
Wrong 23.6875 0
Wrong 20.171875 0
Correct 26.59375 0
Wrong 28.15625 0
Correct 26.46875 0
Correct 28.953125 0
Correct 27.109375 0
Correct 26.4375 0
Wrong 28.53125 0
Wrong 16.625 0
Wrong 24.8125 0
Correct 23.265625 0
Wrong 19.171875 0
Correct 20.9375 0
Correct 25.203125 0
Correct 25.03125 0
Correct 27.4375 0
Correct 26.75 0
Wrong 27.640625 0
Wrong 25.4375 0
Wrong 24.609375 0
Correct 29.171875 0
Wrong 25.984375 0
Correct 25.796875 0
Correct 28.8125 0
Correct 29.21875 0
Correct 21.296875 0
Correct 20.578125 0
Correct 28.859375 0
Wrong 26.40625 0
Correct 27.515625 0
Correct 18.90625 0
Correct 25.84375 0
Correct 26.09375 0
Wrong 27.59375 0
Correct 24.921875 0
Wrong 28.921875 0
Wrong 24.34375 0
Wrong 27.84375 0
Correct 22.796875 0
Correct 28.1875 0
Wrong 27.84375 0
Wrong 25.609375 0
Correct 24.9375 0
Correct 21.28125 0
Correct 27.21875 0
Wrong 26.78125 0
Wrong 24.453125 0
Correct 26.34375 0
Wrong 19.515625 0
Wrong 22.6875 0
Correct 26.578125 0
Correct 30.71875 0
Correct 25.046875 0
Correct 28.375 0
Wrong 25.859375 0
Wrong 24.28125 0
Wrong 26.25 0
Wrong 25.703125 0
Correct 28.09375 0
Correct 24.109375 0
Correct 23.140625 0
Correct 28.546875 0
Correct 18.125 1
Correct 26.15625 0
Wrong 19.625 0
Unparseable 0 4
Correct 22.265625 0
Correct 28.015625 0
Wrong 20.96875 0
Correct 29.1875 0
Wrong 21.328125 0
Correct 27.296875 0
Correct 29.546875 0
Wrong 27.578125 0
Correct 22.4375 0
Correct 29.015625 0
Wrong 26.609375 0
Correct 26.828125 0
Correct 28.84375 0
Correct 25.671875 0
Correct 21.078125 0
Wrong 21.390625 0
Wrong 19.296875 0
Wrong 30.15625 0
Correct 27.109375 0
Correct 23.71875 0
Wrong 18.625 1
Correct 24.546875 0
Correct 26.09375 0
Wrong 29.953125 0
Correct 25.09375 0
Wrong 31.015625 0
Wrong 26.640625 0
Correct 26.640625 0
Correct 27.4375 0
Correct 24.0625 0
Correct 27.796875 0
Correct 28.265625 0
Correct 27.84375 0
Wrong 20.296875 0
Wrong 27.125 0
Correct 25.53125 0
Wrong 29.453125 0
Wrong 19.890625 0
Wrong 21.375 0
Correct 24.125 0
Correct 22.3125 0
Wrong 26.0 0
Correct 20.71875 0
Correct 23.046875 0
Correct 29.484375 0
Correct 27.328125 0
Correct 27.5625 0
Wrong 25.234375 0
Wrong 25.890625 0
Correct 21.953125 0
Correct 18.09375 1
Wrong 27.25 0
Wrong 20.9375 0
Correct 26.828125 0
Wrong 29.1875 0
Wrong 23.96875 0
Wrong 27.09375 0
Correct 28.703125 0
Correct 23.53125 0
Correct 25.703125 0
Wrong 19.015625 0
Correct 25.40625 0
Wrong 27.421875 0
Wrong 25.875 0
Correct 20.28125 0
Correct 22.59375 0
Wrong 18.859375 0
Wrong 24.359375 0
Correct 23.75 0
Wrong 19.59375 0
Wrong 24.84375 0
Correct 26.21875 0
Correct 28.34375 0
Wrong 20.34375 0
Wrong 24.203125 0
Correct 28.953125 0
Correct 28.890625 0
Wrong 25.75 0
Wrong 26.078125 0
Correct 26.875 0
Wrong 23.03125 0
Correct 23.203125 0
Correct 27.015625 0
Wrong 22.453125 0
Correct 26.140625 0
Correct 26.640625 0
Correct 28.796875 0
Wrong 14.5703125 3
Wrong 22.171875 0
Correct 19.125 0
Wrong 29.328125 0
Correct 29.125 0
Wrong 27.59375 0
Correct 25.0 0
Correct 18.6875 0
Correct 22.734375 0
Wrong 20.609375 0
Correct 29.421875 0
Correct 27.09375 0
Wrong 23.84375 0
Correct 28.921875 0
Wrong 28.34375 0
Correct 21.5 0
Wrong 27.28125 0
Correct 22.53125 0
Correct 25.21875 0
Correct 27.625 0
Wrong 24.875 0
Correct 29.5 0
Wrong 22.78125 0
Wrong 19.546875 1
Correct 22.140625 0
Wrong 28.296875 0
Correct 26.796875 0
Correct 21.953125 0
Wrong 29.15625 0
Wrong 24.203125 0
Wrong 19.796875 0
Wrong 23.96875 0
Wrong 25.703125 0
Wrong 22.9375 0
Correct 27.21875 0
Wrong 21.0625 0
Wrong 17.09375 2
Correct 26.609375 0
Correct 24.640625 0
Wrong 22.96875 0
Correct 27.234375 0
Correct 25.3125 0
Wrong 28.4375 0
Wrong 19.59375 0
Correct 28.453125 0
Wrong 26.09375 0
Wrong 25.640625 0
Wrong 22.875 0
Correct 25.953125 0
Correct 29.9375 0
Correct 25.71875 0
Wrong 27.171875 0
Correct 25.765625 0
Wrong 20.875 0
Correct 23.421875 0
Wrong 22.84375 0
Correct 29.9375 0
Correct 28.5 0
Correct 18.4375 0
Wrong 25.640625 0
Correct 21.515625 0
Wrong 26.3125 0
Wrong 26.671875 0
Wrong 25.921875 0
Wrong 22.59375 0
Correct 30.71875 0
Wrong 28.65625 0
Correct 25.5 0
Correct 25.109375 0
Correct 23.375 0
Wrong 22.703125 0
Wrong 30.21875 0
Wrong 22.15625 0
Correct 28.5 0
Wrong 27.125 0
Correct 27.3125 0
Wrong 24.875 0
Wrong 27.984375 0
Correct 25.625 0
Correct 25.953125 0
Wrong 25.171875 0
Correct 26.90625 0
Correct 24.0 0
Wrong 21.484375 0
Wrong 23.53125 0
Wrong 16.953125 1
Wrong 24.953125 0
Wrong 24.96875 0
Wrong 19.53125 0
Correct 21.71875 0
Correct 21.265625 0
Wrong 20.921875 0
Wrong 21.671875 0
Wrong 26.59375 0
Wrong 24.625 0
Correct 24.640625 0
Wrong 20.75 1
Correct 23.1875 1
Correct 26.0 0
Correct 30.328125 0
Correct 27.390625 0
Correct 29.75 0
Wrong 19.40625 0
Wrong 26.96875 0
Correct 29.078125 0
Wrong 26.296875 0
Wrong 26.4375 0
Correct 29.15625 0
Wrong 24.21875 0
Wrong 29.09375 0
Wrong 22.671875 0
Correct 28.125 0
Correct 24.390625 0
Correct 21.0625 0
Correct 27.515625 0
Correct 28.453125 0
Correct 29.828125 0
Wrong 24.859375 0
Correct 24.703125 0
Correct 28.890625 0
Correct 29.875 0
Correct 25.90625 0
Wrong 22.21875 0
Wrong 22.34375 0
Correct 19.328125 0
Wrong 24.859375 0
Wrong 28.4375 0
Wrong 29.734375 0
Wrong 22.28125 0
Correct 24.546875 0
Wrong 26.84375 0
Correct 25.671875 0
Correct 26.0 0
Correct 22.40625 0
Correct 29.6875 0
Correct 27.796875 0
Wrong 23.625 0
Correct 17.859375 0
Wrong 19.3125 1
Correct 27.359375 0
Correct 20.875 0
Wrong 22.015625 0
Correct 19.8125 0
Correct 19.875 0
Correct 27.53125 0
Correct 28.15625 0
Wrong 23.421875 0
Wrong 25.0625 0
Correct 30.09375 0
Wrong 23.5 0
Correct 21.546875 0
Wrong 23.40625 0
Wrong 19.234375 0
Wrong 23.421875 0
Correct 19.71875 0
Wrong 24.796875 0
Correct 26.0 0
Unparseable 23.859375 4
Correct 25.9375 0
Correct 25.734375 0
Wrong 20.3125 0
Wrong 23.875 0
Correct 27.765625 0
Wrong 21.65625 0
Correct 25.34375 0
Wrong 26.5625 0
Wrong 26.5 0
Wrong 20.9375 0
Correct 27.328125 0
Wrong 28.453125 0
Wrong 24.640625 0
Wrong 25.75 0
Correct 25.484375 0
Correct 25.75 0
Correct 26.78125 0
Wrong 18.578125 0
Correct 29.34375 0
Wrong 25.8125 0
Correct 27.140625 0
Correct 30.234375 0
Correct 26.53125 0
Wrong 22.03125 0
Wrong 24.59375 0
Correct 24.859375 0
Wrong 21.21875 0
Correct 28.40625 0
Correct 23.265625 1
Wrong 27.203125 0
Wrong 27.265625 0
Wrong 28.703125 0
Correct 30.65625 0
Wrong 22.4375 1
Wrong 27.0 0
Wrong 27.40625 0
Correct 24.640625 0
Wrong 27.34375 0
Wrong 18.859375 0
Correct 29.015625 0
Wrong 29.421875 0
Wrong 25.75 0
Correct 25.515625 0
Wrong 24.59375 0
Correct 28.609375 0
Wrong 19.5 0
Wrong 21.5 0
Wrong 29.078125 0
Correct 27.21875 0
Correct 20.71875 0
Wrong 25.21875 0
Correct 19.328125 1
Wrong 24.703125 0
Correct 28.765625 0
Wrong 22.140625 0
Wrong 29.296875 0
Correct 29.0625 0
Wrong 24.328125 0
Correct 26.984375 0
Wrong 27.359375 0
Correct 25.5 0
Wrong 22.78125 0
Wrong 22.734375 0
Correct 26.640625 0
Wrong 17.890625 1
Correct 21.265625 0
