grade confidence_level parsing_issue_occurred
Correct 41.75 0
Wrong 37.90625 0
Wrong 43.375 0
Wrong 34.875 0
Wrong 34.3125 0
Correct 40.0625 0
Wrong 37.65625 0
Correct 33.78125 0
Correct 34.0 0
Correct 37.4375 0
Wrong 42.09375 0
Correct 36.6875 0
Correct 31.546875 0
Wrong 37.09375 0
Correct 30.953125 1
Wrong 34.375 0
Correct 32.96875 0
Correct 25.03125 1
Wrong 42.9375 0
Correct 39.4375 0
Correct 42.25 0
Correct 42.0 0
Correct 32.03125 0
Correct 41.09375 0
Wrong 39.875 0
Correct 40.53125 0
Correct 39.90625 0
Wrong 36.0625 0
Correct 36.625 0
Wrong 42.3125 0
Correct 36.3125 0
Correct 38.625 0
Correct 41.25 0
Correct 37.90625 0
Correct 41.75 0
Wrong 33.78125 0
Correct 40.375 0
Correct 41.15625 0
Correct 42.5 0
Wrong 43.875 0
Correct 37.0 0
Correct 39.0 0
Correct 37.59375 0
Correct 42.03125 0
Correct 45.21875 0
Correct 33.53125 0
Correct 36.84375 0
Wrong 41.21875 0
Correct 38.59375 0
Wrong 29.015625 1
Correct 46.78125 0
Correct 45.5625 0
Wrong 46.09375 0
Correct 46.75 0
Correct 36.875 0
Correct 39.59375 0
Wrong 40.3125 0
Correct 39.59375 0
Correct 40.9375 0
Correct 36.03125 0
Wrong 33.8125 0
Wrong 35.0 0
Wrong 38.96875 0
Correct 40.15625 0
Correct 45.46875 0
Correct 42.875 0
Correct 41.1875 0
Wrong 30.578125 0
Correct 41.90625 0
Correct 39.875 0
Correct 38.59375 0
Wrong 28.5 0
Wrong 32.375 0
Wrong 35.0625 0
Wrong 40.40625 0
Wrong 38.34375 0
Wrong 32.375 0
Correct 44.4375 0
Correct 42.3125 0
Correct 42.84375 0
Wrong 44.125 0
Correct 40.625 0
Wrong 35.75 0
Correct 42.34375 0
Correct 40.125 0
Correct 43.15625 0
Correct 33.65625 0
Correct 39.65625 0
Wrong 31.109375 0
Correct 42.6875 0
Correct 37.78125 0
Correct 37.46875 0
Wrong 38.0 0
Wrong 39.78125 0
Correct 40.15625 0
Correct 40.75 0
Correct 39.90625 0
Correct 42.59375 0
Correct 39.3125 0
Correct 33.625 0
Wrong 34.125 0
Wrong 46.46875 0
Wrong 41.8125 0
Correct 37.71875 0
Wrong 33.40625 0
Correct 30.84375 0
Wrong 32.65625 0
Correct 37.59375 0
Wrong 30.1875 0
Correct 36.8125 0
Correct 45.28125 0
Correct 43.0 0
Wrong 37.25 0
Correct 38.3125 0
Correct 38.75 0
Correct 35.6875 0
Correct 38.0 0
Wrong 39.03125 0
Wrong 35.65625 0
Correct 40.0625 0
Correct 39.8125 0
Wrong 40.6875 0
Correct 43.96875 0
Correct 42.15625 0
Correct 31.828125 0
Correct 33.15625 0
Wrong 40.6875 0
Correct 39.03125 3
Wrong 31.734375 0
Correct 39.0 0
Wrong 31.015625 0
Wrong 33.46875 0
Correct 35.5625 0
Wrong 40.78125 0
Correct 34.1875 0
Correct 36.78125 0
Correct 44.0 0
Wrong 40.78125 0
Wrong 42.875 0
Correct 40.75 0
Correct 44.78125 0
Correct 38.34375 0
Wrong 32.875 0
Wrong 27.0 1
Correct 29.5625 1
Correct 39.28125 0
Correct 40.15625 0
Correct 42.0 0
Correct 37.71875 0
Correct 33.9375 0
Wrong 33.59375 0
Wrong 33.0625 0
Correct 36.3125 0
Correct 36.8125 0
Correct 36.15625 0
Correct 36.46875 0
Correct 41.34375 0
Correct 47.25 0
Wrong 39.375 0
Wrong 38.65625 0
Wrong 34.375 0
Wrong 35.53125 0
Correct 37.6875 0
Wrong 44.84375 0
Wrong 35.21875 0
Correct 38.8125 0
Correct 38.0625 0
Wrong 37.375 0
Wrong 39.25 0
Correct 38.0 0
Correct 42.3125 0
Correct 38.15625 0
Correct 40.75 0
Wrong 38.96875 0
Wrong 28.359375 0
Correct 30.453125 0
Correct 36.46875 0
Correct 41.5625 0
Correct 33.09375 0
Wrong 34.96875 0
Wrong 36.75 0
Correct 39.65625 0
Wrong 35.0 0
Correct 37.28125 0
Correct 45.53125 0
Correct 45.375 0
Correct 40.5 0
Wrong 43.75 0
Wrong 39.1875 0
Wrong 43.90625 0
Wrong 40.0 0
Wrong 35.8125 0
Correct 40.53125 0
Wrong 39.40625 0
Correct 41.75 0
Correct 44.3125 0
Wrong 31.046875 0
Correct 40.5 0
Wrong 31.375 0
Correct 36.84375 0
Correct 46.8125 0
Correct 36.96875 0
Correct 40.6875 0
Correct 42.46875 0
Wrong 32.5 0
Wrong 44.3125 0
Correct 40.5625 0
Correct 35.1875 0
Correct 36.71875 0
Wrong 40.40625 0
Correct 35.90625 0
Correct 36.25 0
Correct 45.0 0
Correct 44.75 0
Correct 38.0625 0
Correct 35.15625 0
Correct 40.625 0
Correct 36.4375 0
Correct 37.53125 0
Wrong 42.21875 0
Wrong 39.71875 0
Correct 39.6875 0
Wrong 33.0625 0
Correct 37.46875 0
Correct 41.46875 0
Correct 37.53125 0
Wrong 40.5 0
Correct 42.25 0
Correct 42.59375 0
Correct 41.0625 0
Correct 45.1875 0
Correct 42.09375 0
Correct 30.640625 0
Correct 36.625 0
Wrong 45.28125 0
Wrong 48.90625 0
Correct 38.5625 0
Wrong 34.0625 0
Wrong 36.75 0
Wrong 40.90625 0
Correct 33.46875 0
Correct 39.90625 0
Correct 37.6875 0
Wrong 26.890625 0
Correct 39.625 0
Correct 39.65625 0
Wrong 32.1875 0
Correct 37.15625 0
Correct 44.5625 0
Wrong 46.34375 0
Wrong 41.9375 0
Wrong 42.25 0
Wrong 37.1875 0
Correct 32.28125 0
Correct 32.75 0
Correct 40.0 0
Wrong 39.59375 0
Correct 35.5 0
Correct 36.125 0
Correct 36.1875 0
Wrong 41.84375 0
Correct 36.875 0
Wrong 36.375 0
Correct 36.8125 0
Wrong 38.46875 0
Wrong 33.375 0
Correct 41.84375 0
Wrong 31.546875 0
Correct 47.53125 0
Wrong 41.75 0
Correct 38.78125 0
Correct 48.25 0
Correct 34.96875 0
Correct 41.1875 0
Correct 39.9375 0
Correct 31.53125 0
Wrong 40.1875 0
Correct 40.71875 0
Correct 35.78125 1
Correct 42.53125 0
Correct 37.0625 0
Correct 45.21875 0
Correct 42.84375 0
Correct 34.0 0
Wrong 42.8125 0
Correct 43.21875 0
Wrong 39.71875 0
Correct 37.78125 0
Correct 40.53125 0
Correct 34.40625 0
Correct 36.875 0
Correct 35.28125 0
Correct 37.59375 0
Wrong 34.46875 0
Unparseable 0 4
Wrong 38.0625 0
Correct 31.59375 0
Correct 34.40625 0
Correct 43.15625 0
Correct 39.3125 0
Wrong 31.625 0
Correct 35.375 3
Correct 37.75 0
Correct 35.5625 0
Correct 26.953125 0
Wrong 40.5 0
Wrong 38.5 0
Wrong 43.03125 0
Correct 42.3125 0
Correct 38.46875 0
Correct 38.6875 0
Wrong 39.5625 0
Wrong 39.3125 0
Wrong 35.875 0
Correct 30.125 0
Wrong 41.5625 0
Correct 37.15625 0
Wrong 37.0625 0
Wrong 33.75 0
Correct 44.9375 0
Wrong 43.03125 0
Wrong 36.65625 3
Correct 36.375 0
Correct 37.125 0
Wrong 32.1875 0
Correct 35.65625 0
Correct 43.9375 0
Correct 41.78125 0
Wrong 34.0 0
Correct 35.375 0
Correct 44.28125 0
Wrong 34.03125 0
Correct 22.71875 1
Correct 37.3125 0
Wrong 36.78125 0
Correct 38.875 0
Correct 44.4375 0
Correct 31.890625 0
Wrong 34.25 0
Correct 36.0 0
Correct 37.125 0
Wrong 36.1875 0
Wrong 39.34375 0
Correct 41.75 0
Correct 44.5625 0
Wrong 33.9375 0
Correct 42.15625 0
Correct 35.78125 0
