grade confidence_level parsing_issue_occurred
Correct 6.676424876143161e-38 2
Correct 1.401298464324817e-45 2
Correct 0.0 2
Correct 2.7681279459696003e-36 2
Correct 0.0 2
Correct 6.138014796430168e-35 0
Correct 7.64845639020343e-34 0
Correct 2.712004978380048e-36 0
Wrong nan 0
Correct 6.167152208396241e-37 0
Correct 1.401298464324817e-45 2
Correct 2.3625892108516416e-42 2
Wrong nan 0
Wrong nan 0
Correct 1.708182828011952e-42 2
Wrong 3.723250019711039e-40 2
Correct 1.1035666815574197e-38 2
Wrong 1.4761978672429785e-40 2
Wrong 2.1425853519526453e-42 2
Correct 1.401298464324817e-45 2
Wrong nan 2
Wrong 2.0318827732709848e-43 2
Correct nan 0
Correct 1.2072289330391468e-33 2
Wrong 2.802596928649634e-45 2
Correct nan 0
Wrong 1.401298464324817e-45 2
Wrong 5.605193857299268e-45 2
Correct 1.0481712513149632e-42 2
Correct 2.984044296617706e-34 2
Correct 6.210719700592153e-31 0
Wrong 1.0328074149521059e-39 2
Correct nan 0
Correct 2.2065686398337164e-40 2
Correct nan 0
Wrong 3.359407245500309e-37 0
Unparseable 1.8972141333506443e-05 4
Correct nan 2
Wrong 1.83483961009949e-38 2
Wrong 3.8599296574928667e-32 2
Wrong 1.2944501293077337e-07 2
Correct 0.00334778125397861 0
Correct 9.457530723011587e-06 2
Correct 8.58578630413831e-09 2
Wrong 5.678953129972797e-07 0
Wrong 4.353196203510379e-08 2
Wrong 1.883064760477282e-05 2
Wrong nan 0
Correct 0.0904989168047905 3
Wrong 8.816686825063869e-10 2
Correct 0.2684291899204254 3
Correct 2.4432778022998036e-09 2
Correct 1.0826013749465346e-05 0
Correct 8.649001301819226e-07 0
Wrong 1.1077123929226218e-07 2
Wrong 8.485206308250781e-06 2
Correct 1.1374760333637823e-06 0
Wrong 2.2621774675712913e-08 2
Correct 2.796663693516166e-06 2
Wrong nan 2
Wrong 1.1217546891373331e-09 2
Wrong 9.153234259429155e-07 0
Correct 0.0007987067219801247 0
Wrong nan 0
Wrong 3.2463311072206125e-05 0
Wrong 0.05088185891509056 0
Wrong nan 0
Wrong 5.169100859347964e-06 2
Wrong 2.1259749516389093e-08 2
Correct 2.534471521542514e-09 2
Wrong 0.26826366782188416 3
Correct 1.1416427696531173e-05 0
Wrong nan 0
Wrong nan 0
Wrong nan 2
Wrong 9.615999374545936e-08 2
Correct 0.007724521216005087 0
Wrong 3.6742238140874406e-09 2
Correct nan 0
Correct 0.00010412138362880796 0
Unparseable 0.00042317723273299634 4
Correct nan 0
Wrong 1.9494846299066512e-35 0
Correct nan 0
Wrong 6.43651409215947e-33 2
Wrong 6.901145617776951e-37 2
Wrong 0.0 0
Correct 2.1233898527803483e-33 0
Wrong 7.522062536773558e-36 2
Wrong nan 0
Correct 2.503023226491906e-35 0
Wrong 2.2408444002711015e-40 0
Wrong 8.283596505652723e-38 0
Correct 1.6054927572751154e-28 2
Correct 1.788804976912988e-36 0
Wrong 0.0 2
Wrong 7.19251329146474e-39 0
Wrong 1.0845149336800441e-35 2
Correct 0.0 2
Wrong nan 0
Correct nan 0
Correct 5.100726410142334e-43 2
Wrong 9.63343233992715e-37 2
Correct 1.6307050359194329e-40 2
Wrong 9.201461012770121e-38 0
Correct 2.737971727510842e-32 2
Correct 1.5194457493838654e-37 0
Wrong 2.744723302073019e-41 2
Wrong nan 0
Correct nan 3
Correct 1.1218028714864807e-37 2
Correct 8.609577764811676e-42 0
Correct 3.0848321465299187e-34 0
Wrong 0.0 2
Wrong 2.2707905995597245e-32 0
Wrong 1.5457931873178549e-37 2
Wrong 7.299868168115129e-40 0
Wrong nan 0
Correct 9.527585204372436e-39 0
Correct nan 0
Correct 3.255832903950853e-40 2
Wrong 2.802596928649634e-45 0
Wrong 1.3782206704924428e-36 0
Wrong nan 0
Correct 8.050373025980662e-07 3
Wrong nan 2
Wrong 1.401298464324817e-45 2
Correct 2.1698328539796196e-35 2
Correct 3.390334240469313e-31 0
Wrong 1.401298464324817e-45 2
Wrong nan 2
Correct 6.371458890053686e-39 0
Correct 2.970752744368612e-43 2
Correct 3.356049566223971e-39 2
Wrong 7.496946784137771e-43 2
Wrong nan 0
Correct 0.0 2
Wrong nan 0
Wrong 1.401298464324817e-45 2
Wrong 2.802596928649634e-44 0
Wrong 5.7506402301053983e-39 2
Correct 3.024238311302877e-36 0
Wrong nan 0
Wrong 0.0 2
Wrong 0.0 2
Correct 7.314105921032055e-38 2
Wrong 1.8146924974805984e-37 0
Correct 3.464672253422765e-34 2
Correct nan 0
Wrong 1.401298464324817e-45 0
Wrong 9.668959403841238e-44 2
Correct 4.663661419119424e-41 0
Wrong nan 0
Wrong nan 0
Correct 3.2895201190332216e-40 2
Correct nan 0
Wrong 1.3912511543356081e-40 0
Correct 3.784632990899383e-36 2
Wrong 4.401183867455111e-37 2
Correct 7.847271400218976e-43 0
Correct 5.7561104284738384e-36 2
Wrong 3.547246932591842e-41 2
Correct nan 2
Wrong 0.0 2
Correct 4.344025239406933e-44 2
Correct 1.401298464324817e-45 2
Correct nan 0
Correct 1.401298464324817e-45 2
Wrong nan 0
Wrong 0.0 0
Wrong 7.847275705007858e-36 2
Wrong 3.885800641572718e-42 2
Correct nan 0
Wrong 8.924958257139951e-37 2
Correct 0.0 0
Correct 2.942726775082116e-44 2
Correct 1.0285530728144157e-42 2
Wrong 2.318953673503584e-37 2
Correct nan 2
Wrong 2.0585074440931563e-42 0
Correct 0.0 2
Correct 3.799283505925469e-30 0
Wrong 2.6778813653247254e-42 2
Correct 1.7516230804060213e-43 0
