grade confidence_level parsing_issue_occurred
Correct 0.6241388320922852 1
Correct 0.7327505350112915 0
Wrong 0.6347355246543884 0
Correct 0.734261691570282 0
Correct 0.6615720987319946 0
Correct 0.932868242263794 1
Correct 0.9069676995277405 1
Correct 0.9254631400108337 1
Correct 0.9895121455192566 1
Correct 0.5786826014518738 0
Correct 0.9818382263183594 1
Correct 0.8669072389602661 0
Correct 0.5853597521781921 0
Correct 0.6566782593727112 0
Correct 0.9943209290504456 1
Correct 0.8215032815933228 0
Correct 0.7699886560440063 0
Correct 0.9280730485916138 1
Wrong 0.824601948261261 1
Wrong 0.8234350085258484 1
Correct 0.757627546787262 0
Correct 0.9727655053138733 1
Correct 0.5891152024269104 0
Correct 0.6929125189781189 0
Wrong 0.9335971474647522 1
Wrong 0.9576779007911682 1
Wrong 0.6158424615859985 0
Wrong 0.9418381452560425 1
Correct 0.9530008435249329 1
Wrong 0.7373720407485962 1
Wrong 0.9433982372283936 1
Wrong 0.9906115531921387 1
Correct 0.9233269095420837 1
Correct 0.6485874652862549 0
Correct 0.8697543740272522 0
Correct 0.8860855102539062 1
Correct 0.973904013633728 1
Wrong 0.5434059500694275 0
Correct 0.6634665131568909 1
Correct 0.7101920247077942 0
Correct 0.7049786448478699 0
Wrong 0.989106297492981 1
Wrong 0.5089816451072693 1
Wrong 0.5381773114204407 0
Correct 0.6626907587051392 0
Wrong 0.9918205738067627 1
Wrong 0.5000497698783875 0
Correct 0.7563480734825134 1
Wrong 0.9275486469268799 1
Correct 0.9733280539512634 1
Correct 0.9627355337142944 1
Wrong 0.9743207693099976 1
Correct 0.8547593951225281 1
Wrong 0.9859017729759216 1
Wrong 0.6557868719100952 0
Correct 0.9832264184951782 1
Correct 0.6611199975013733 1
Wrong 0.969024658203125 1
Correct 0.6891989707946777 0
Wrong 0.5996795892715454 0
Correct 0.8358851075172424 0
Correct 0.6936572194099426 1
Correct 0.8313295841217041 0
Correct 0.85288405418396 0
Wrong 0.9692938327789307 1
Wrong 0.7576950192451477 0
Correct 0.6421010494232178 0
Correct 0.6722368597984314 0
Correct 0.6029205322265625 1
Correct 0.9880485534667969 1
Wrong 0.9760372638702393 1
Correct 0.5186446309089661 0
Correct 0.7259474992752075 0
Wrong 0.9629303812980652 1
Correct 0.9648022651672363 1
Correct 0.6885004043579102 0
Correct 0.5874260067939758 0
Correct 0.7113643884658813 0
Wrong 0.8107839226722717 1
Correct 0.9850801825523376 1
Wrong 0.9508740901947021 1
Correct 0.9866482615470886 1
Correct 0.5051981806755066 0
Wrong 0.8232948184013367 1
Correct 0.6525636911392212 0
Correct 0.48037731647491455 0
Correct 0.7195696234703064 0
Wrong 0.9402123689651489 1
Wrong 0.7474142909049988 1
Correct 0.9855260252952576 1
Wrong 0.7341288328170776 1
Correct 0.9810130596160889 1
Wrong 0.9870202541351318 1
Wrong 0.8317006230354309 1
Correct 0.6687251329421997 0
Wrong 0.9758164286613464 1
Wrong 0.4779331386089325 0
Correct 0.7511398196220398 0
Wrong 0.6801689863204956 0
Correct 0.9870556592941284 1
Correct 0.7731454372406006 0
Correct 0.668353259563446 0
Wrong 0.5488268733024597 0
Wrong 0.6985237002372742 0
Correct 0.5484573245048523 0
Wrong 0.9359156489372253 1
Wrong 0.890089213848114 0
Correct 0.7983962893486023 0
Correct 0.4620409607887268 0
Wrong 0.5335133671760559 0
Wrong 0.9655297994613647 1
Correct 0.9483679533004761 1
Correct 0.9900843501091003 1
Correct 0.7095061540603638 0
Correct 0.5491477251052856 0
Wrong 0.9577414393424988 1
Correct 0.9619172811508179 1
Wrong 0.6713312268257141 0
Wrong 0.5066890716552734 1
Wrong 0.7078337073326111 1
Wrong 0.7938070297241211 1
Wrong 0.9301137328147888 1
Correct 0.8709433674812317 1
Correct 0.5677224397659302 0
Wrong 0.473857045173645 0
Wrong 0.8755254745483398 0
Correct 0.8195536732673645 0
Wrong 0.7849332690238953 1
Wrong 0.6670195460319519 0
Wrong 0.5045023560523987 0
Wrong 0.9420980215072632 1
Correct 0.6395435333251953 0
Correct 0.967113196849823 1
Wrong 0.8047902584075928 0
Correct 0.6937994956970215 0
Correct 0.5454896688461304 0
Correct 0.5432758331298828 0
Wrong 0.9825655221939087 1
Correct 0.8451111912727356 0
Correct 0.6869059801101685 0
Wrong 0.6235886812210083 0
Wrong 0.9745579361915588 1
Correct 0.9735098481178284 1
Correct 0.9767633080482483 1
Wrong 0.6049777865409851 1
Wrong 0.5043042302131653 0
Wrong 0.9812320470809937 1
Wrong 0.9742769002914429 1
Correct 0.807077944278717 0
Wrong 0.8534005284309387 1
Correct 0.7068464159965515 0
Correct 0.4962873160839081 0
Correct 0.7715731263160706 1
Correct 0.8716334700584412 0
Wrong 0.518720269203186 1
Correct 0.9323464035987854 0
Correct 0.8858203291893005 0
Correct 0.6571379899978638 0
Wrong 0.7291046380996704 1
Correct 0.5001195073127747 0
Correct 0.9624731540679932 1
Correct 0.9273766279220581 1
Correct 0.7305329442024231 0
Correct 0.9789143204689026 1
Correct 0.8888046741485596 0
Correct 0.6908940076828003 0
Wrong 0.549117386341095 1
Wrong 0.5372079014778137 0
Correct 0.7013429403305054 0
Wrong 0.869968056678772 1
Correct 0.9864747524261475 1
Correct 0.9585864543914795 1
Correct 0.9891905188560486 1
Wrong 0.6756433248519897 1
Correct 0.6298110485076904 0
Wrong 0.9661785960197449 1
Wrong 0.6821238994598389 0
Correct 0.6513265371322632 0
Correct 0.9607677459716797 1
Correct 0.8047407865524292 0
Wrong 0.5195991396903992 1
Wrong 0.920060396194458 1
Correct 0.9136924743652344 1
Correct 0.8959943056106567 0
Correct 0.9051066040992737 1
Correct 0.7984618544578552 0
Correct 0.7052810192108154 0
Correct 0.6746979355812073 0
Wrong 0.6986975073814392 0
Correct 0.7330487966537476 0
Correct 0.5794275403022766 0
Correct 0.7882589101791382 0
Wrong 0.9868927597999573 1
Correct 0.7029452919960022 0
Correct 0.8323563933372498 0
Correct 0.7291379570960999 0
Correct 0.5365787148475647 0
Correct 0.8344458341598511 0
Wrong 0.5455254912376404 0
Wrong 0.6462860107421875 1
Correct 0.9204447269439697 0
Wrong 0.6519139409065247 1
Correct 0.574733316898346 0
Wrong 0.6276447772979736 1
Wrong 0.938564658164978 1
Wrong 0.7347152233123779 0
Correct 0.8202335238456726 1
Wrong 0.9848427176475525 1
Correct 0.8455784916877747 0
Wrong 0.6083421111106873 1
Correct 0.7235882878303528 0
Wrong 0.676543653011322 1
Correct 0.9861693382263184 1
Correct 0.6806487441062927 0
Correct 0.8489372730255127 1
Correct 0.5291918516159058 0
Correct 0.5374596118927002 0
Correct 0.6946561932563782 0
Correct 0.5945536494255066 1
Wrong 0.7817520499229431 0
Wrong 0.7030648589134216 0
Correct 0.5383200645446777 0
Correct 0.9386851787567139 1
Correct 0.5100775957107544 0
Correct 0.5611128211021423 0
Correct 0.9103160500526428 1
Correct 0.9743759632110596 1
Correct 0.6224666833877563 0
Correct 0.7400344014167786 0
Correct 0.7134429812431335 0
Wrong 0.6217444539070129 0
Correct 0.571844220161438 0
Correct 0.6538191437721252 1
Wrong 0.7620663046836853 1
Correct 0.5111804604530334 1
Correct 0.8724057078361511 0
Correct 0.6674728393554688 0
Correct 0.5035198926925659 0
Correct 0.8399787545204163 1
Wrong 0.5768986344337463 0
Correct 0.6207479238510132 0
Wrong 0.5498030185699463 0
Correct 0.7628544569015503 0
Wrong 0.697531521320343 0
Wrong 0.5174282789230347 0
Correct 0.5703071355819702 0
Correct 0.9005370736122131 1
Wrong 0.5100107192993164 0
Correct 0.8045790195465088 0
Wrong 0.9268918037414551 1
Correct 0.35592836141586304 0
Wrong 0.7666894197463989 0
Wrong 0.9821501970291138 1
Correct 0.6802380681037903 0
Correct 0.5986576676368713 0
Correct 0.9908641576766968 1
Wrong 0.5874306559562683 0
