grade confidence_level parsing_issue_occurred
Wrong 0.15975628793239594 1
Correct 0.5088455080986023 0
Wrong 0.28143152594566345 1
Correct 0.20394016802310944 1
Wrong 0.48096516728401184 0
Correct 0.2369520515203476 1
Correct 0.29763397574424744 1
Correct 0.2337127923965454 1
Correct 0.6324358582496643 0
Correct 0.5968673229217529 0
Correct 0.2963063418865204 1
Wrong 0.17243388295173645 1
Correct 0.14925724267959595 1
Correct 0.6886555552482605 0
Wrong 0.7001999020576477 0
Wrong 0.27257081866264343 1
Correct 0.22746393084526062 1
Correct 0.14377298951148987 1
Correct 0.8562407493591309 0
Correct 0.6454778909683228 0
Correct 0.6997683048248291 0
Wrong 0.5818013548851013 0
Wrong 0.20398658514022827 1
Correct 0.6305040121078491 0
Correct 0.5644068121910095 0
Correct 0.6802682876586914 0
Wrong 0.17463821172714233 1
Correct 0.49630433320999146 0
Correct 0.6438482999801636 0
Correct 0.1912270486354828 1
Correct 0.623461902141571 0
Correct 0.4370681941509247 1
Correct 0.6832463145256042 0
Correct 0.34481319785118103 1
Correct 0.5502232313156128 0
Wrong 0.2550767660140991 1
Correct 0.14432179927825928 1
Correct 0.345746248960495 1
Wrong 0.3368387222290039 1
Correct 0.17368821799755096 1
Wrong 0.19284504652023315 1
Correct 0.4386676251888275 0
Correct 0.7296357750892639 0
Correct 0.39598384499549866 0
Correct 0.23667316138744354 1
Correct 0.4702366292476654 0
Correct 0.2579905688762665 1
Correct 0.22097525000572205 1
Correct 0.5826581716537476 0
Wrong 0.2643442451953888 1
Correct 0.46727073192596436 0
Correct 0.6739760637283325 0
Correct 0.7312785983085632 0
Wrong 0.20855757594108582 1
Correct 0.1879594475030899 1
Correct 0.19402648508548737 1
Correct 0.4832262098789215 0
Correct 0.7978885769844055 0
Correct 0.23159515857696533 1
Wrong 0.5610944032669067 0
Wrong 0.1606709510087967 1
Correct 0.5996103286743164 0
Wrong 0.3401409387588501 1
Correct 0.537449300289154 0
Wrong 0.18834511935710907 1
Correct 0.5480635166168213 0
Correct 0.46099257469177246 0
Wrong 0.1688096821308136 1
Correct 0.828917920589447 0
Correct 0.27395302057266235 1
Wrong 0.2813786268234253 1
Wrong 0.7168908715248108 0
Correct 0.21430544555187225 1
Wrong 0.3289875388145447 1
Correct 0.23417600989341736 1
Correct 0.2165791541337967 1
Correct 0.5129562020301819 0
Correct 0.30022138357162476 1
Correct 0.5579262971878052 0
Correct 0.5332506895065308 0
Correct 0.24842922389507294 1
Wrong 0.25520408153533936 1
Wrong 0.2158602923154831 1
Correct 0.2528034448623657 1
Correct 0.28224849700927734 1
Correct 0.6453474760055542 0
Correct 0.3437597155570984 1
Correct 0.5769128799438477 0
Correct 0.2651035487651825 1
Correct 0.532114565372467 0
Correct 0.26188406348228455 1
Wrong 0.2759896516799927 1
Correct 0.21074846386909485 1
Correct 0.2424534410238266 1
Correct 0.6202790141105652 0
Wrong 0.21210303902626038 1
Correct 0.2692997455596924 1
Wrong 0.20012885332107544 1
Correct 0.2898474633693695 1
Correct 0.8872378468513489 0
Correct 0.6771856546401978 0
Wrong 0.26066407561302185 1
Correct 0.5214999914169312 0
Wrong 0.08567310869693756 1
Correct 0.6152277588844299 0
Correct 0.1821584403514862 1
Wrong 0.46472233533859253 0
Correct 0.2792760133743286 1
Wrong 0.36229208111763 2
Correct 0.7566244602203369 0
Wrong 0.31945449113845825 1
Correct 0.49019184708595276 0
Correct 0.7072187066078186 0
Wrong 0.34180399775505066 1
Correct 0.43604451417922974 1
Correct 0.187538743019104 1
Correct 0.19902001321315765 1
Wrong 0.21832318603992462 1
Correct 0.12464459240436554 1
Correct 0.31027108430862427 1
Correct 0.519761860370636 0
Correct 0.18404310941696167 1
Correct 0.6811426281929016 0
Correct 0.24680639803409576 1
Correct 0.2596462070941925 1
Wrong 0.19856148958206177 1
Wrong 0.24427828192710876 1
Correct 0.24498358368873596 1
Correct 0.33391863107681274 1
Correct 0.23350028693675995 1
