grade confidence_level
Correct 0.3951014280319214
Unparseable 0
Wrong 0.3768290579319
Correct 0.30377456545829773
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.2331550121307373
Unparseable 0
Wrong 0.34018415212631226
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.3675784766674042
Unparseable 0
Unparseable 0
Wrong 0.28212469816207886
Unparseable 0
Unparseable 0
Wrong 0.28950560092926025
Correct 0.3144248425960541
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.3665495216846466
Wrong 0.3975749611854553
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.28612083196640015
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.3495534658432007
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.27868494391441345
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.3904419243335724
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.26039642095565796
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.2555423676967621
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.2639109194278717
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.27237948775291443
