grade confidence_level
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.67333984375
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 2.798828125
Correct 0.5341796875
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.25732421875
Wrong 0.5419921875
Unparseable 0
Correct 3.072265625
Correct 1.4658203125
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 1.7578125
Correct 0.826171875
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.7177734375
Wrong 0.56103515625
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.6767578125
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.75830078125
Correct 0.55517578125
Correct 2.025390625
Correct 0.58544921875
Correct 0.5107421875
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.341552734375
Wrong 0.6640625
Correct 1.623046875
Unparseable 0
Correct 0.58251953125
Wrong 0.5380859375
Unparseable 0
Unparseable 0
Correct 1.48828125
Unparseable 0
Unparseable 0
Wrong 1.8505859375
Unparseable 0
Unparseable 0
Correct 0.4052734375
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.69677734375
Wrong 0.517578125
Wrong 0.7021484375
Correct 2.52734375
Wrong 0.50244140625
Wrong 0.583984375
Correct 0.33447265625
Unparseable 0
Wrong 1.5849609375
Unparseable 0
Unparseable 0
Correct 1.2138671875
Unparseable 0
Correct 2.43359375
Unparseable 0
Wrong 1.330078125
Unparseable 0
Correct 1.2373046875
Unparseable 0
Unparseable 0
Correct 2.7109375
Unparseable 0
Unparseable 0
Wrong 0.24951171875
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.32666015625
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.57373046875
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 1.0205078125
Correct 0
Unparseable 0
Correct 0.55859375
Unparseable 0
Correct 0.4716796875
Unparseable 0
Unparseable 0
Correct 1.2001953125
Unparseable 0
Unparseable 0
Correct 0.5654296875
Correct 1.0234375
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
