grade confidence_level parsing_issue_occurred
Correct 2.513719295836294e-16 0
Correct 1.1438868341429043e-06 0
Wrong 0.6785765886306763 0
Wrong 0.3918427526950836 0
Correct 7.704360695422185e-13 1
Wrong 0.015469014644622803 1
Wrong 1.3883758143151681e-08 0
Wrong 1.8675109252937324e-15 0
Correct 0.3886790871620178 0
Wrong 1.52021275567904e-08 0
Wrong 0.3135256767272949 0
Correct 0.018580343574285507 0
Correct 0.8542569279670715 0
Correct 0.7730666399002075 0
Wrong 0.9852293133735657 0
Correct 0.7404398918151855 0
Wrong 0.8528647422790527 0
Correct 1.851580000433728e-11 0
Correct 1.5590415625155174e-09 0
Wrong 1.7196144952436043e-08 0
Wrong 5.776418561254104e-07 0
Wrong 4.484194591168611e-13 0
Wrong 4.414149878950724e-10 0
Correct 1.213252176057722e-06 0
Correct 1.8187930663771112e-06 0
Correct 0.674238383769989 0
Wrong 1.9420959063154442e-07 0
Wrong 0.013501032255589962 0
Wrong 3.222660552637535e-06 0
Wrong 0.2850213050842285 0
Correct 0.9570316076278687 0
Correct 2.73955720331287e-07 1
Correct 0.8406041860580444 0
Unparseable 0.00018027357873506844 4
Wrong 0.00015589086979161948 0
Wrong 0.02654658816754818 0
Wrong 0.8481997847557068 0
Wrong 0.11132486164569855 0
Wrong 1.1644715192105082e-09 0
Correct 0.16396133601665497 0
Wrong 5.766888163760445e-17 0
Wrong 6.0544145526364446e-05 0
Wrong 0.0001978660438908264 0
Wrong 3.6337801656571855e-09 1
Correct 0.0015505087794736028 0
Wrong 0.0001984928094316274 0
Wrong 0.16558851301670074 0
Correct 0.5107994675636292 0
Wrong 1.5273315945307786e-10 0
Wrong 4.212585736240726e-06 0
Correct 1.7256022388778547e-08 0
Correct 6.226053415048227e-07 0
Wrong 4.021124055952896e-08 0
Correct 0.5492461919784546 0
Wrong 0.382028728723526 0
Wrong 0.2996496856212616 2
Wrong 5.3722533976952036e-08 0
Wrong 1.1697885327066615e-08 0
Correct 0.9999808669090271 0
Wrong 9.522190147492893e-09 0
Correct 4.955154054187005e-06 0
Wrong 0.9266398549079895 0
Correct 9.458591611224802e-15 0
Wrong 9.744339363182419e-11 1
Correct 2.857704885173007e-06 0
Correct 6.369215407175943e-05 0
Wrong 9.937415512695225e-08 0
Correct 4.2683984818880916e-11 0
Wrong 5.209168096875771e-10 3
Wrong 2.5465816521491602e-12 0
Wrong 4.3183927544987455e-08 0
Wrong 0.005510684102773666 2
Correct 0.9985261559486389 0
Correct 1.2586823139315584e-08 0
Wrong 0.5000767707824707 0
Wrong 9.794493216475075e-09 0
Correct 0.616357684135437 0
Correct 0.8387506008148193 0
Correct 0.005360917188227177 0
Wrong 2.2074651134795786e-11 0
Correct 0.4888252317905426 0
Correct 0.9614477753639221 0
Wrong 2.5141269361483864e-05 0
Correct 5.666564223058557e-13 0
Correct 5.760896897299972e-07 0
Correct 2.8827687401644653e-06 0
Correct 0.005073781590908766 3
Wrong 4.950737597653188e-10 0
Wrong 1.0484842327684873e-08 0
Wrong 0.2165456861257553 0
Wrong 2.933101539426275e-10 0
Correct 3.21871626574044e-11 0
Correct 0.6116873025894165 0
Wrong 1.274629447128861e-11 0
Wrong 1.7067651206736055e-14 0
Correct 0.9999929666519165 0
Correct 0.6963375210762024 0
Wrong 0.9989817142486572 0
Wrong 0.0002778314519673586 0
Correct 5.944656095380196e-06 0
Wrong 0.23070868849754333 0
Wrong 0.8843585252761841 0
Correct 0.9999787211418152 0
Wrong 6.284030860115308e-07 0
Wrong 0.769543468952179 0
Wrong 0.9995763897895813 0
Correct 0.5554150342941284 0
Correct 0.9999942183494568 0
Correct 3.2405338828978e-11 0
Correct 1.020731676265596e-11 1
Wrong 0.07592220604419708 0
Correct 1.2691693399360937e-12 0
Wrong 3.847983997412596e-12 0
Wrong 5.29592534803669e-06 0
Correct 0.7051802277565002 0
Correct 2.0238909200998023e-05 0
Correct 0.09075824916362762 0
Wrong 6.67668473397498e-06 0
Correct 0.7609009146690369 0
Correct 0.0010426891967654228 0
Wrong 1.4890285449098428e-08 0
Correct 1.0553487300057895e-05 0
Wrong 4.1226035918384696e-09 0
Correct 0.7037386298179626 0
Wrong 4.407419568197568e-11 1
Wrong 2.0119249199979095e-07 0
Wrong 0.7025592923164368 0
Wrong 6.268419383559376e-07 0
Correct 2.664015926259755e-13 0
Wrong 0.15170486271381378 0
Correct 2.122960918171657e-09 0
Wrong 0.05998725816607475 0
Correct 0.11282608658075333 0
Wrong 0.5445751547813416 0
Correct 1.5219622895301654e-08 0
Wrong 0.09002838283777237 0
Wrong 3.877252338635451e-11 0
Wrong 5.972834060230525e-06 0
Wrong 1.2985419683975152e-10 0
Correct 3.497551970266244e-10 0
Wrong 0.9432843923568726 0
Unparseable 0.0008072748314589262 4
Correct 4.4531237364253684e-08 0
Correct 6.926260676110019e-10 0
Correct 2.585398942756001e-05 0
Wrong 3.0721734045613402e-09 0
Correct 8.685575494382647e-07 0
Wrong 0.7745044231414795 0
Correct 1.1147679970235913e-06 0
Correct 6.995380663621376e-11 0
Correct 7.749645369869995e-10 0
Wrong 2.0847369341936428e-07 0
Wrong 3.6082260521652643e-06 0
Correct 1.201129329331252e-08 0
Wrong 1.7901925275509711e-06 0
Wrong 5.45006230368017e-07 0
Wrong 0.6125816106796265 0
Correct 0.0005140869179740548 0
Correct 6.796670248832015e-08 0
Wrong 3.8182225381433454e-08 0
Wrong 1.1036447797319049e-11 0
Wrong 1.4216140016287682e-06 0
Wrong 1.0891534527567026e-13 0
Wrong 0.9001780152320862 0
Wrong 0.004241450224071741 0
Wrong 8.34477320577065e-10 0
Correct 0.48715364933013916 0
Correct 1.314418296427533e-10 0
Correct 0.006905370391905308 0
Wrong 4.273777065577633e-08 0
Correct 3.8750871955706145e-10 0
Correct 0.9719290137290955 0
Correct 1.1013006684379434e-07 0
Wrong 1.0603645073103962e-08 0
Wrong 4.291046877824556e-07 0
Correct 2.597152937156011e-09 0
Wrong 1.3691854761077593e-08 0
Correct 0.965987503528595 0
Wrong 1.3483057045959868e-05 0
Correct 0.21807412803173065 0
Wrong 0.00025576946791261435 1
