grade confidence_level parsing_issue_occurred
Correct 0.9992062449455261 0
Wrong 0.0001227078028023243 0
Wrong 1.191657759136433e-07 0
Correct 0.999287486076355 0
Correct 1.583616793254805e-08 0
Wrong 0.00010552529420237988 3
Correct 0.6294487714767456 0
Correct 0.9925984740257263 0
Correct 0.003999673295766115 0
Correct 0.9943324327468872 0
Wrong 0.00021493183157872409 0
Correct 0.9414821267127991 0
Wrong 0.9916764497756958 0
Correct 0.9978220462799072 0
Correct 0.9501878619194031 0
Correct 0.9999330639839172 0
Wrong 0.9994901418685913 0
Correct 0.9974653720855713 0
Correct 0.21476534008979797 0
Correct 0.9692326784133911 0
Correct 0.7856886386871338 0
Correct 0.000548292591702193 0
Correct 0.9946509599685669 0
Correct 0.9979122281074524 0
Wrong 0.9971827864646912 0
Correct 0.9980577230453491 0
Correct 0.9996442198753357 0
Wrong 0.008145611733198166 0
Correct 0.0032135879155248404 0
Wrong 0.2714061439037323 2
Wrong 0.9980571866035461 0
Correct 0.8242347240447998 0
Correct 0.9687017202377319 0
Correct 0.9793338775634766 0
Correct 0.8621504306793213 0
Correct 0.9738654494285583 0
Correct 0.04994811862707138 0
Correct 0.000991937005892396 0
Wrong 0.012011040933430195 0
Correct 8.429672238019492e-11 3
Wrong 0.5520740747451782 0
Correct 0.7202185392379761 0
Correct 0.9817186594009399 0
Correct 0.9910115003585815 0
Correct 4.36086839611098e-16 3
Wrong 0.998408317565918 0
Correct 0.09091225266456604 0
Correct 0.9583057761192322 0
Correct 0.9857574105262756 0
Correct 0.9997894167900085 0
Correct 0.921371340751648 0
Correct 0.006691806484013796 0
Wrong 0.9779639840126038 0
Correct 0.8518322706222534 0
Correct 0.0004688339540734887 0
Correct 0.0750274807214737 0
Correct 0.527993381023407 0
Correct 3.4498076617595075e-10 0
Correct 0.9555871486663818 0
Correct 0.9984819293022156 0
Correct 0.9953801035881042 0
Correct 0.045825909823179245 0
Correct 0.7906019687652588 0
Correct 0.0016354270046576858 0
Correct 0.9771443009376526 0
Correct 0.9997227787971497 0
Wrong 0.4575152099132538 0
Correct 3.850680059258593e-06 0
Correct 0.9536569714546204 0
Correct 0.9890713691711426 0
Correct 0.1361018866300583 0
Correct 0.978998601436615 0
Correct 0.8702071905136108 0
Correct 0.9928220510482788 0
Correct 0.9769425392150879 0
Wrong 0.8307091593742371 0
Correct 0.9841766953468323 0
Correct 0.10421768575906754 0
Correct 0.27745452523231506 0
Correct 0.9086849093437195 0
Correct 0.964116096496582 0
Wrong 4.59244665762526e-06 0
Correct 0.9551997780799866 0
Correct 0.0016632346669211984 2
Correct 0.5628945827484131 0
Correct 0.29780787229537964 0
Correct 0.9879005551338196 0
Wrong 0.953776478767395 0
Correct 0.37485381960868835 0
Correct 0.40931519865989685 0
Correct 0.3163447380065918 0
Correct 0.6933037042617798 0
Correct 0.9980688691139221 0
Correct 0.9993501901626587 0
Wrong 0.13634063303470612 0
Correct 0.9780332446098328 0
Correct 0.0031408676877617836 0
Correct 0.5311000943183899 0
Correct 0.00010133178147953004 0
Correct 0.5519974231719971 0
Correct 0.9975229501724243 0
Correct 0.9995768070220947 0
Correct 0.00011607700434979051 0
Correct 0.00046366569586098194 0
Correct 0.9934662580490112 0
Wrong 8.083281737762091e-18 3
Correct 0.983428955078125 0
Correct 0.5503758788108826 0
Correct 0.9592021107673645 0
Correct 0.9961498975753784 0
Correct 0.00015573942800983787 0
Correct 0.9999290704727173 0
Wrong 9.702270472189412e-05 0
Correct 0.9877891540527344 0
Wrong 1.475974897857668e-07 0
Correct 0.00898131262511015 0
Correct 0.8887343406677246 0
Correct 0.9899597764015198 0
