grade confidence_level parsing_issue_occurred
Wrong 0.19912050664424896 1
Correct 0.38474535942077637 1
Correct 0.34808483719825745 1
Wrong 0.16327893733978271 1
Wrong 0.371900349855423 1
Wrong 0.35563671588897705 1
Correct 0.1555810570716858 1
Wrong 0.34838148951530457 1
Wrong 0.10962967574596405 1
Wrong 0.9784303307533264 0
Unparseable 0.03461519628763199 4
Correct 0.07893949002027512 1
Correct 0.25999853014945984 1
Wrong 0.09264376014471054 1
Wrong 0.18993639945983887 1
Wrong 0.23097363114356995 1
Correct 0.3412603735923767 1
Wrong 0.37249964475631714 1
Correct 0.3730621337890625 1
Wrong 0.719842791557312 0
Correct 0.2769385278224945 1
Wrong 0.8409887552261353 0
Wrong 0.37593406438827515 0
Correct 0.16446338593959808 1
Wrong 0.16660694777965546 1
Wrong 0.1647747904062271 1
Wrong 0.41336676478385925 0
Wrong 0.2669354975223541 1
Wrong 0.23638920485973358 1
Correct 0.9103885293006897 0
Correct 0.33755970001220703 1
Wrong 0.738665759563446 0
Wrong 0.20284761488437653 0
Wrong 0.3953726589679718 0
Wrong 0.2597005069255829 1
Wrong 0.24957291781902313 1
Wrong 0.22342872619628906 1
Correct 0.31299450993537903 1
Correct 0.1947825700044632 1
Wrong 0.20398497581481934 1
Correct 0.17890170216560364 1
Wrong 0.5789825916290283 0
Wrong 0.2596341669559479 1
Correct 0.0008077193051576614 1
Correct 0.8618423938751221 0
Correct 0.6443585157394409 0
Correct 0.7306038737297058 0
Wrong 0.37083402276039124 1
Wrong 0.8922511339187622 0
Wrong 0.3155711889266968 1
Correct 0.6723872423171997 0
Wrong 0.6419525146484375 0
Correct 0.9468059539794922 0
Correct 0.14000651240348816 1
Correct 0.3651197552680969 1
Correct 0.9512724280357361 0
Correct 0.2776466906070709 1
Correct 0.37796303629875183 1
Wrong 0.4424643814563751 0
Correct 0.6441553235054016 0
Wrong 0.26143983006477356 1
Correct 0.24525505304336548 1
Wrong 0.3376089334487915 1
Correct 0.35468584299087524 1
Wrong 0.17124983668327332 1
Wrong 0.2942216396331787 1
Correct 0.28861942887306213 1
Correct 0.3115532100200653 1
Correct 0.23504042625427246 1
Correct 0.41525402665138245 1
Correct 0.3208636939525604 1
Correct 0.22372491657733917 1
Correct 0.2644864618778229 1
Wrong 0.7586638331413269 0
Correct 0.24265198409557343 1
Wrong 0.13244973123073578 1
Wrong 0.3594259023666382 1
Wrong 0.3219045102596283 1
Correct 0.2725829780101776 1
Correct 0.4387111961841583 1
Wrong 0.4833437502384186 0
Wrong 0.14839129149913788 1
Correct 0.2714278995990753 1
Correct 0.40600675344467163 1
Correct 0.8864515423774719 0
Wrong 0.2150152623653412 1
Wrong 0.17596454918384552 0
Correct 0.5419800877571106 1
Wrong 0.2474420666694641 1
Wrong 0.8130471110343933 0
Correct 0.6025401949882507 0
Correct 0.3934968411922455 1
Wrong 0.22418226301670074 0
Wrong 0.6208048462867737 0
Correct 0.5948486328125 0
Correct 0.1673181653022766 1
Correct 0.34660765528678894 1
Wrong 0.3535967171192169 1
Wrong 0.3724472224712372 1
Correct 0.1934363842010498 1
Correct 0.42329370975494385 1
Correct 0.9133597612380981 0
Wrong 0.14293162524700165 1
Wrong 0.190135657787323 1
Correct 0.34797611832618713 1
Wrong 0.8799681663513184 0
Wrong 0.46399417519569397 0
Correct 0.34447216987609863 1
Correct 0.3122401833534241 1
Correct 0.5427700281143188 1
Correct 0.25035831332206726 1
Wrong 0.5828256011009216 0
Correct 0.2963356375694275 1
Correct 0.3792992830276489 1
Correct 0.39078009128570557 0
Wrong 0.2283303439617157 1
Wrong 0.340484082698822 0
Wrong 0.3722342848777771 0
Wrong 0.30188223719596863 1
Correct 0.0015070614172145724 1
Wrong 0.17857599258422852 0
Wrong 0.20021392405033112 1
Correct 0.886072039604187 0
Wrong 0.3332057595252991 1
Wrong 0.12307027727365494 1
Wrong 0.1573605090379715 1
Wrong 0.28586235642433167 1
Correct 0.09937231242656708 1
Correct 0.2737758457660675 1
Correct 0.48096585273742676 0
Wrong 0.3425063192844391 0
Wrong 0.21865621209144592 1
Correct 0.4682621359825134 1
Wrong 0.3585798144340515 1
Wrong 0.43774938583374023 0
Correct 0.9699360728263855 0
Wrong 0.2646646201610565 1
Correct 0.55699622631073 0
Correct 0.13552792370319366 1
Correct 0.20276182889938354 1
Wrong 0.9140766859054565 0
Correct 0.2581179141998291 1
Correct 0.7833443880081177 0
Correct 0.34235790371894836 1
Wrong 0.3085518181324005 1
Wrong 0.30718564987182617 1
Wrong 0.5861375331878662 0
Wrong 0.28053727746009827 1
Correct 0.30124330520629883 1
Wrong 0.22063793241977692 1
Wrong 0.6276721954345703 0
