grade confidence_level parsing_issue_occurred
Correct 0.602143406867981 0
Correct 1.9379282093723305e-05 3
Wrong 0.5270987153053284 0
Correct 0.5982128381729126 0
Wrong 0.23694708943367004 1
Wrong 0.768386960029602 0
Wrong 0.41799357533454895 0
Correct 0.7601373195648193 0
Wrong 0.12738333642482758 3
Wrong 0.6438009142875671 0
Wrong 0.5696370005607605 0
Correct 0.0030819405801594257 3
Correct 0.20338211953639984 0
Wrong 0.8311700820922852 0
Correct 0.06485074013471603 3
Wrong 0.7008389830589294 0
Wrong 0.3611980974674225 0
Wrong 0.15530265867710114 3
Correct 0.5977392792701721 0
Correct 0.7949662804603577 0
Correct 0.5573846101760864 0
Wrong 0.44611620903015137 2
Wrong 0.05454395338892937 1
Correct 0.36277705430984497 2
Wrong 0.3598329722881317 2
Wrong 0.4111437499523163 0
Wrong 0.6195091009140015 0
Correct 0.9617558717727661 0
Wrong 0.04576970636844635 3
Wrong 0.029069356620311737 1
Correct 0.04683579504489899 1
Wrong 0.19729357957839966 3
Correct 0.4980970323085785 0
Wrong 0.5207130908966064 0
Correct 0.8699257373809814 0
Wrong 0.32864588499069214 0
Correct 0.6971497535705566 0
Wrong 0.12351200729608536 1
Wrong 0.40335819125175476 0
Wrong 0.1849239468574524 1
Wrong 0.21036256849765778 3
Wrong 0.8985683917999268 0
Wrong 0.4014185070991516 0
Wrong 0.2378169596195221 0
Wrong 0.4737650752067566 0
Correct 0.679722011089325 0
Wrong 0.7148120403289795 0
Correct 0.44581401348114014 0
Wrong 0.8420099020004272 0
Correct 0.07619716972112656 1
Correct 0.5534851551055908 2
Correct 0.6092410683631897 0
Wrong 0.5789681673049927 0
Correct 0.07526547461748123 1
Correct 1.5340405070674024e-06 3
Correct 0.3700457513332367 0
Wrong 0.12284378707408905 3
Wrong 0.4453853666782379 0
Correct 0.5580145120620728 0
Wrong 0.25265198945999146 0
Wrong 0.11892489343881607 1
Correct 0.7135183811187744 0
Wrong 0.6914612650871277 0
Wrong 0.3834402561187744 0
Wrong 0.790681779384613 2
Wrong 0.29599714279174805 0
Wrong 0.3688803017139435 0
Wrong 0.37621280550956726 0
Correct 0.6821525692939758 0
Wrong 0.5467378497123718 0
Wrong 0.2660690248012543 0
Wrong 0.6856414079666138 2
Correct 0.6200553774833679 0
Correct 0.2513001561164856 0
Wrong 0.3393031060695648 0
Wrong 0.7587102055549622 0
Wrong 0.7816809415817261 0
Wrong 0.2858968675136566 1
Correct 0.7071955800056458 0
Correct 0.16142860054969788 3
Wrong 0.2500596046447754 2
Correct 0.2575778365135193 0
Wrong 0.38328272104263306 2
Correct 0.45236146450042725 0
Wrong 0.47964003682136536 0
Correct 0.35238438844680786 0
Wrong 0.34390851855278015 3
Correct 0.921924352645874 0
Wrong 0.4417486786842346 0
Wrong 0.6339365243911743 0
Correct 0.5219480991363525 0
Wrong 0.36509668827056885 0
Wrong 0.2967577576637268 0
Wrong 0.6964060068130493 0
Correct 0.9477598071098328 0
Wrong 0.6217100024223328 0
Wrong 0.09918689727783203 1
Wrong 0.1589922159910202 3
Wrong 0.2690422236919403 0
Correct 0.4194173514842987 0
Wrong 0.0006034527905285358 0
Wrong 0.7633420825004578 0
Correct 0.20501381158828735 1
Wrong 0.1100272387266159 0
Wrong 0.4829007089138031 0
Wrong 0.7314433455467224 0
Correct 0.39502447843551636 0
Correct 0.7469595074653625 2
Wrong 0.9825246334075928 0
Correct 0.0707285925745964 3
Wrong 0.00013545597903430462 3
Wrong 0.09938366711139679 1
Wrong 0.2027854174375534 3
Wrong 0.7178773283958435 0
Wrong 0.9485179781913757 2
Wrong 0.6046372652053833 0
Wrong 0.45848548412323 2
Wrong 0.12273325026035309 3
Wrong 0.8984357118606567 2
Wrong 0.5698256492614746 0
Correct 0.45843538641929626 0
Wrong 0.0517832487821579 3
Correct 0.27207812666893005 0
Wrong 0.06689142435789108 1
Wrong 0.08011241257190704 1
Wrong 0.11905413866043091 3
Correct 0.5052112936973572 2
Wrong 0.7887460589408875 0
Correct 0.17063648998737335 1
Wrong 0.6365412473678589 0
Wrong 0.6198293566703796 0
Wrong 0.17340868711471558 3
Correct 0.47916552424430847 0
Correct 0.3951248526573181 0
Wrong 0.4820612072944641 0
Wrong 0.07951909303665161 1
Correct 0.7186211943626404 0
Correct 0.059634607285261154 1
Wrong 0.09587261825799942 1
Correct 0.41784951090812683 3
Wrong 0.09429121017456055 1
Wrong 0.574386477470398 0
Wrong 0.46744778752326965 0
Wrong 0.8045903444290161 0
Wrong 0.6099518537521362 0
Wrong 0.36991146206855774 0
Correct 0.5378392338752747 0
Wrong 0.22725866734981537 0
Correct 0.8908427953720093 2
Wrong 0.2546461224555969 0
Correct 0.5105498433113098 0
Wrong 0.2882917523384094 0
Correct 0.5879497528076172 0
Correct 0.7400822639465332 0
Correct 0.08532698452472687 1
Wrong 0.054347891360521317 3
Correct 0.6647021770477295 0
Wrong 0.6874821186065674 0
Correct 0.5253080129623413 0
Wrong 0.4630444645881653 0
Correct 0.7281498908996582 0
Correct 0.6086576581001282 2
Wrong 0.6633542776107788 0
Correct 0.49866947531700134 0
Wrong 0.9338790774345398 0
Correct 0.5156168341636658 2
Correct 0.4274064302444458 0
Wrong 0.09396643191576004 3
Wrong 0.07499006390571594 3
Correct 0.42742252349853516 0
Correct 0.16587834060192108 3
Wrong 0.6836808323860168 0
Wrong 0.360063761472702 0
Correct 0.3385618329048157 0
Wrong 0.6640129685401917 0
Correct 0.85674649477005 0
Wrong 0.5578787326812744 0
Wrong 0.3730000853538513 0
Correct 0.3112524747848511 0
Wrong 0.19090551137924194 3
Correct 0.008594847284257412 3
Wrong 0.3544417917728424 0
Wrong 0.47133004665374756 0
Correct 0.5716987252235413 0
Wrong 0.3130597174167633 2
Wrong 0.8107611536979675 0
Wrong 0.07516982406377792 1
Correct 0.14590275287628174 3
Correct 0.23032699525356293 3
Correct 0.6171843409538269 2
Wrong 0.20146039128303528 3
Wrong 0.3641931414604187 0
Wrong 5.598476491286419e-05 3
Correct 0.841912567615509 0
Wrong 0.5850659608840942 0
Correct 0.07297369837760925 3
Correct 0.36638104915618896 0
Wrong 0.2650362253189087 0
Wrong 0.8654853105545044 0
Wrong 0.11042492091655731 1
Correct 0.4404464662075043 0
Correct 0.6334748268127441 0
Correct 0.7414296269416809 0
Wrong 0.41836392879486084 0
Wrong 0.6977609395980835 0
Wrong 0.3312203884124756 0
Correct 0.7862225770950317 0
Wrong 0.276072233915329 0
Correct 0.7001945972442627 0
Wrong 0.35883864760398865 0
Wrong 0.6932756900787354 0
Correct 0.06432093679904938 3
Correct 0.07766912132501602 1
Correct 0.9791975617408752 2
Wrong 0.15149663388729095 0
Correct 0.5904460549354553 0
Wrong 0.7078264951705933 0
Wrong 0.06320285052061081 1
Correct 0.37317994236946106 0
Wrong 0.5263058543205261 0
Wrong 0.5982487201690674 0
Wrong 0.7370857000350952 0
Wrong 0.052212197333574295 1
Wrong 0.5491809844970703 0
Wrong 0.18514849245548248 0
Wrong 0.10742509365081787 1
Wrong 0.3900415897369385 0
Wrong 0.8783908486366272 0
Wrong 0.5106500387191772 0
Correct 0.7445122003555298 0
Correct 0.10769648849964142 1
Wrong 0.8136368989944458 0
Correct 0.4738810956478119 0
Wrong 0.24340930581092834 0
Correct 0.09558142721652985 1
Wrong 0.4106856882572174 0
Wrong 0.4090147912502289 0
Wrong 0.05744205415248871 1
Correct 0.30951687693595886 0
Wrong 0.22871126234531403 3
Wrong 0.08268778771162033 1
Correct 0.16169707477092743 1
Wrong 0.3476719558238983 0
Wrong 0.00016209071327466518 3
Correct 0.7820824980735779 0
Wrong 0.823736846446991 0
Correct 0.6515124440193176 0
Wrong 0.025082755833864212 3
Wrong 0.43479686975479126 0
Wrong 0.7197550535202026 0
Correct 0.08027611672878265 1
Wrong 0.05112530291080475 1
Correct 0.6386036276817322 0
Wrong 0.7176167964935303 0
Wrong 0.6509423851966858 0
Wrong 0.4875073730945587 0
Wrong 0.1369846612215042 1
Correct 0.32770684361457825 0
Wrong 0.02964712679386139 1
Wrong 0.8318656086921692 0
Wrong 9.854471500148065e-06 3
Correct 0.3660116493701935 0
Wrong 0.10980986058712006 3
Wrong 3.3222707429558795e-07 3
Correct 0.7300422787666321 0
Correct 0.244140163064003 0
Correct 0.8130289912223816 0
Wrong 0.34271669387817383 0
Wrong 0.5525615215301514 3
Correct 0.7036332488059998 2
Wrong 0.15797649323940277 3
Correct 0.13814526796340942 1
Wrong 0.7007648348808289 0
Wrong 0.9537028074264526 0
Wrong 0.5219431519508362 2
Correct 0.40944233536720276 0
Wrong 0.5404605865478516 0
Wrong 0.08699141442775726 1
Wrong 0.6378533840179443 2
Wrong 0.4291321039199829 0
Wrong 0.18982729315757751 1
Correct 0.6234303712844849 0
Wrong 0.6918778419494629 0
Wrong 0.9359581470489502 2
Correct 0.9749619364738464 0
Correct 0.44382044672966003 0
Correct 0.5890215635299683 0
Wrong 0.06929192692041397 1
Correct 0.7881062626838684 2
Wrong 0.30709996819496155 0
Wrong 0.4609346091747284 0
Wrong 0.03359097242355347 3
Wrong 0.31590500473976135 0
Wrong 0.6095312833786011 2
Wrong 0.09992173314094543 1
Correct 0.01920504868030548 1
Wrong 0.6068460941314697 2
Correct 0.5419616103172302 0
Correct 0.7234271168708801 0
Wrong 0.8386842012405396 2
Wrong 0.5462015271186829 0
Correct 0.6903973817825317 0
Correct 0.8809133172035217 0
Wrong 0.1007523387670517 3
Wrong 0.10925997793674469 1
Correct 0.698736310005188 0
Wrong 0.8115278482437134 2
Correct 0.9872621297836304 0
Wrong 0.23027026653289795 0
Wrong 0.1086394339799881 1
Wrong 0.11018992960453033 3
Correct 0.22271069884300232 0
Wrong 0.12761859595775604 1
Wrong 0.5255254507064819 0
Wrong 0.41671431064605713 0
Wrong 0.27341383695602417 1
Correct 0.9142853617668152 0
Wrong 0.05558197572827339 1
Wrong 6.148059128463501e-08 3
Correct 0.532230019569397 0
Correct 0.91822749376297 0
Wrong 1.3072685760562308e-05 3
Wrong 0.3094881474971771 0
Wrong 0.1516132354736328 1
Correct 0.11265625059604645 1
Wrong 0.3214500844478607 0
Correct 0.49025440216064453 0
Wrong 0.11959365010261536 0
Correct 0.5825316905975342 0
Wrong 0.23659071326255798 0
Wrong 0.907096266746521 0
Wrong 0.4333628714084625 0
Wrong 0.16544361412525177 1
