grade confidence_level parsing_issue_occurred
Correct 0.9925966369605611 0
Correct 0.9954514313782258 0
Wrong 0.41406870597533957 0
Correct 0.7496543647688132 0
Correct 0.5863025499088584 0
Correct 0.976976905470238 0
Wrong 0.7924913586181588 0
Correct 0.8013381932369267 0
Correct 0.9110295898103491 0
Correct 0.9894552693929098 0
Wrong 0.9869943993860071 0
Correct 0.9998525336615796 0
Correct 0.9999079493922772 0
Wrong 0.8963655027415185 0
Correct 0.7773566214993779 0
Wrong 0.8583682871709964 0
Wrong 0.5567085463974492 0
Correct 0.7845541263160829 0
Wrong 0.933714431249179 0
Wrong 0.8981824025492433 0
Correct 0.9708086616425323 0
Correct 0.9997180109463891 0
Correct 0.9943253842602425 0
Wrong 0.9651768122857032 0
Wrong 0.8220095785771045 0
Correct 0.9994615733763661 0
Correct 0.936215768073017 0
Correct 0.9997168192486001 0
Correct 0.9985237678878482 0
Wrong 0.9993831074928231 0
Correct 0.9797272388886454 0
Wrong 0.6288076441438902 0
Correct 0.9997248379586207 0
Wrong 0.7965316589678755 0
Correct 0.9998040334493135 0
Correct 0.5488527989062472 0
Correct 0.9964928526386374 0
Correct 0.9743846947518617 0
Correct 0.8360250410031315 0
Wrong 0.7048777760622517 0
Wrong 0.5303163044344706 0
Correct 0.999846220491631 0
Correct 0.9997362404633642 0
Correct 0.9074670925665099 0
Correct 0.6970209505406222 0
Correct 0.9832108320897543 0
Correct 0.6069894463741573 0
Wrong 0.788792031938955 0
Correct 0.9343211774265987 0
Wrong 0.7338367801141337 0
Correct 0.9991506346804633 0
Wrong 0.9779658782675003 0
Wrong 0.9864304752083609 0
Correct 0.9999227293971268 0
Correct 0.6800724105166669 0
Correct 0.9999389399718394 0
Correct 0.5805782140303009 0
Correct 0.5687497374023144 0
Correct 0.9955641194609137 0
Correct 0.9072176174047432 0
Correct 0.9074315544716733 0
Wrong 0.8141356546517958 0
Correct 0.9863807220972625 0
Correct 0.9976862955263195 0
Correct 0.9997025226176733 0
Correct 0.9999053271578564 0
Correct 0.9997642316877179 0
Wrong 0.8765621596462059 0
Correct 0.6752138652588937 0
Correct 0.9997004967634516 0
Correct 0.9983848357286383 0
Wrong 0.5151733302134169 0
Correct 0.9304117835546611 0
Wrong 0.915944657182205 0
Wrong 0.5327434181879269 0
Correct 0.44053350057241897 0
Correct 0.9272163943145337 0
Correct 0.9901486537381284 0
Correct 0.9999556276081837 0
Correct 0.8839612927326833 0
Wrong 0.6165340398833971 0
Correct 0.9991521378872278 0
Wrong 0.7674880564156417 0
Correct 0.9997302818738755 0
Correct 0.9995864998763505 0
Correct 0.9988651197046317 0
Wrong 0.8327369054432262 0
Correct 0.9470772596320932 0
Correct 0.4682389395146412 0
Correct 0.9960590677879793 0
Wrong 0.5270133954851092 0
Wrong 0.656242494257313 0
Wrong 0.9856499859329517 0
Wrong 0.9597107826149843 0
Correct 0.9856637766779424 0
Correct 0.9995286108213067 0
Correct 0.9996323606812622 0
Correct 0.9815021608734867 0
Correct 0.8273132958020533 0
Wrong 0.962360343080911 0
Wrong 0.6311244388811539 0
Wrong 0.9687942685076198 0
Correct 0.9851368574321991 0
Correct 0.999797001826918 0
Wrong 0.5540956172484092 0
Wrong 0.6603981538360637 0
Wrong 0.997619470037405 0
Correct 0.9992359151199847 0
Correct 0.575437303564098 0
Correct 0.9996563914580116 0
Correct 0.9216690754804974 0
Correct 0.9935765907301719 0
Wrong 0.9957016830512029 0
Wrong 0.8970857427478742 0
Correct 0.9998963877644684 0
Correct 0.9992519258711738 0
Correct 0.999866955286593 0
Correct 0.44557560584023886 0
Correct 0.6417619710832526 0
Correct 0.9996678526398518 0
Correct 0.9990799034066941 0
Wrong 0.9514707494251312 0
Wrong 0.9572038762740748 0
Correct 0.9997174150889394 0
Wrong 0.6358250290022147 0
Wrong 0.8740291198673951 0
Correct 0.9990239048526908 0
Wrong 0.9880091922073071 0
Wrong 0.5814012285659879 0
Wrong 0.6838078020363025 0
Wrong 0.6022081074092651 0
Wrong 0.9617727604256724 0
Correct 0.999955389209391 0
Wrong 0.5887494418558502 0
Correct 0.9947971118249169 0
Correct 0.9948752790511587 0
Correct 0.7161702469388426 0
Wrong 0.5767767391562102 0
Correct 0.7092279526464945 0
Correct 0.9999247557009943 0
Correct 0.9997045485159883 0
Correct 0.9621019524620026 0
Wrong 0.7291124926021937 0
Wrong 0.8774228613443283 0
Wrong 0.9124419368076936 0
Correct 0.9994974166527023 0
Wrong 0.6483988564207075 0
Correct 0.9993203682307148 0
Correct 0.7492641396510328 0
Correct 0.9999013938155793 0
Wrong 0.5440149557358271 0
Wrong 0.7919003817138051 0
Correct 0.9147394195197776 0
Correct 0.6711627217311358 0
Correct 0.7215998990087122 0
Wrong 0.6686694608306174 0
Correct 0.9998551557682888 0
Correct 0.7115525315801963 0
Wrong 0.9979317383502467 0
Correct 0.45482430904483456 0
Wrong 0.7246037132476915 0
Correct 0.5469164723282942 0
Correct 0.7310785726341454 0
Wrong 0.937986365637455 0
Wrong 0.9187178199045912 0
Correct 0.9997734082484896 0
Correct 0.5479762843206903 0
Wrong 0.6618670333437503 0
Wrong 0.5121825934787787 0
Correct 0.9999353640855907 0
Correct 0.9996244961619202 0
Correct 0.9997987895265431 0
Correct 0.9998402612359452 0
Wrong 0.9707477122850581 0
Correct 0.7733082294472116 0
Wrong 0.8243423519997125 0
Correct 0.8510947739765703 0
Correct 0.9981053321115686 0
Correct 0.4081657269233354 0
Correct 0.8698402054557478 0
Wrong 0.3764326617953945 0
Correct 0.9998418106459555 0
Wrong 0.8201230469147384 0
Correct 0.7806237352974216 0
Correct 0.9141824008955497 0
Correct 0.9999021985515736 0
Wrong 0.6498185414804213 0
Correct 0.9876295585012005 0
Correct 0.9884685305597416 0
Correct 0.9247534284228164 0
Correct 0.9190731200413299 0
Wrong 0.6230290166174868 0
Correct 0.5260960533311736 0
Correct 0.9944219117420284 0
Correct 0.9956008470120883 0
Wrong 0.9650193939023158 0
Wrong 0.9148383829298141 0
Correct 0.9947682795534611 0
Wrong 0.788017546984266 0
Wrong 0.9227591052261321 0
Correct 0.9984084897593436 0
Correct 0.9999056847353142 0
Correct 0.998930889239067 0
Wrong 0.881159313126018 0
Wrong 0.9919196285291546 0
Wrong 0.9984048077538344 0
Correct 0.9993322695819443 0
Correct 0.9975939789385366 0
Wrong 0.9392385739965617 0
Wrong 0.47583955598234345 0
Correct 0.9905292187284156 0
Wrong 0.8478086258345815 0
Correct 0.9997855643382837 0
Correct 0.9998428833131195 0
Correct 0.8711728410624957 0
Correct 0.9999495485090693 0
Correct 0.9998260783724702 0
Correct 0.788475081344236 0
Correct 0.9697922254088195 0
Correct 0.9989662187723677 0
Correct 0.46008823871907345 0
Correct 0.999197648229162 0
Wrong 0.4650221755765263 0
Wrong 0.4875125377432287 0
Correct 0.9995735121134252 0
Correct 0.9999743419278739 0
Correct 0.6807611064330887 0
Correct 0.9650001431173765 0
Correct 0.999624019554719 0
Correct 0.9491325291551169 0
Correct 0.9998997251315307 0
Correct 0.9998066554161735 0
Wrong 0.4645364534100529 0
Correct 0.9994149592654076 0
Wrong 0.8647545141859749 0
Wrong 0.9998726763153485 0
Wrong 0.6121551338555861 0
Wrong 0.28176940949021595 0
Wrong 0.9350164274081586 0
Wrong 0.8829928180234782 0
Wrong 0.700600236509324 0
Correct 0.8675567259340135 0
Correct 0.8584687173503923 0
Wrong 0.8188794017696562 0
Correct 0.9923269385774725 0
Correct 0.9870444680304286 0
Wrong 0.9768382187884131 0
Correct 0.9997651850896876 0
Correct 0.9988268416133403 0
Correct 0.9856504624215716 0
Correct 0.996092434424528 0
Wrong 0.5375674233596809 0
Wrong 0.5851079546117045 0
Wrong 0.9114616812613537 0
Correct 0.8075335574889071 0
Correct 0.9766104987319553 0
Wrong 0.806885329105392 0
Wrong 0.7203363402551578 0
Correct 0.9997735274224567 0
Correct 0.9997290901896916 0
Correct 0.49940872450489693 0
Correct 0.7358433913066057 0
Wrong 0.7327222769183385 0
Correct 0.9999197495385406 0
Correct 0.9992984933939628 0
Correct 0.853728957397981 0
Correct 0.9998215494266981 0
Wrong 0.6538452134968163 0
Correct 0.9996561782936344 0
Wrong 0.4358951633768281 0
Correct 0.9983576335313187 0
Correct 0.9999336953472506 0
Correct 0.9962291281751328 0
Correct 0.9998385926649158 0
Correct 0.7340850308565309 0
Wrong 0.9046704007986096 0
Wrong 0.9987912572913834 0
Correct 0.9896656105245416 0
Correct 0.8290375611808669 0
Correct 0.5261595598901486 0
Correct 0.6015198841135534 0
Correct 0.7370763459316237 0
Correct 0.9993858475231839 0
Correct 0.9991342169502797 0
Wrong 0.5726588116069201 0
Correct 0.9998808930237992 0
Wrong 0.6404371792445799 0
Correct 0.9998949574760523 0
Correct 0.9845010917782789 0
Correct 0.9357059116455443 0
Correct 0.9601616298516047 0
Wrong 0.8650881099670735 0
Wrong 0.9344654391532645 0
Wrong 0.5654459589927385 0
Wrong 0.7958382823640953 0
Wrong 0.5340113059818583 0
Wrong 0.916606165512133 0
Correct 0.7554653248853926 0
Correct 0.999915577759118 0
Correct 0.9957714604786574 0
Wrong 0.7893424748285052 0
Wrong 0.7278198944923556 0
Correct 0.9999470453628163 0
Correct 0.9990549614847345 0
Correct 0.4791195805690634 0
Wrong 0.9668960978595558 0
Wrong 0.9553556847522391 0
Wrong 0.5356400924184987 0
Correct 0.9999270204031404 0
Correct 0.5991928716270815 0
Wrong 0.9896955135573953 0
Wrong 0.9493675244062181 0
Wrong 0.8346659382535996 0
Correct 0.9993398626548666 0
Wrong 0.9545687947967474 0
Wrong 0.5778391769302282 0
Correct 0.9826630633499416 0
Wrong 0.9777667622303184 0
Correct 0.6195070094741824 0
Correct 0.9980815375336417 0
Wrong 0.9998472894830381 0
Wrong 0.5569942552828798 0
Correct 0.9983697504791138 0
Correct 0.9999234445670168 0
Wrong 0.6718363804463912 0
Correct 0.9998848262783624 0
Correct 0.9999500252994771 0
Correct 0.6707766448862014 0
Correct 0.9806782914008977 0
Correct 0.9997680453056508 0
Correct 0.9922297609735421 0
Wrong 0.6664978795797271 0
Wrong 0.9677325411537182 0
Correct 0.9994285869240296 0
Correct 0.9653164071832251 0
Correct 0.9983940170909941 0
Correct 0.9978278753558286 0
Wrong 0.322192477913769 0
Correct 0.9406593788057338 0
Correct 0.9998118993694924 0
Wrong 0.4550457926091684 0
Correct 0.9023776076098733 0
Wrong 0.7091233543204927 0
Wrong 0.5351487631183921 0
Correct 0.6158627733978668 0
Wrong 0.8459651148319874 0
Wrong 0.5562492411526905 0
Correct 0.9899882103804766 0
Correct 0.9949032401516444 0
Correct 0.9271976975174137 0
Wrong 0.45219980296984097 0
Correct 0.9974212061629847 0
Correct 0.627364768610226 0
Correct 0.999503965936994 0
Wrong 0.6957768475989019 0
Wrong 0.4782800769404114 0
Correct 0.9771609749697883 0
Correct 0.9916164176225918 0
Wrong 0.503459103959658 0
Wrong 0.5202987194946532 0
Correct 0.6352955965537952 0
Correct 0.9996881070703155 0
Correct 0.9984738393744292 0
Correct 0.9885790028423892 0
Correct 0.9999563427977034 0
Wrong 0.6494850749671033 0
Correct 0.6861159322824755 0
Correct 0.9997771027302885 0
Correct 0.9995828060949491 0
Correct 0.999833586926192 0
Wrong 0.39797966525252343 0
Wrong 0.7628588041041231 0
Correct 0.7289690179626251 0
Correct 0.919147161411781 0
Correct 0.9973268869095291 0
Correct 0.9998650482868018 0
Correct 0.9969998868036164 0
Correct 0.541467533777931 0
Correct 0.9999305962628507 0
Correct 0.9994665736024755 0
Wrong 0.529283765267576 0
Correct 0.9119503780442364 0
Correct 0.831175341151904 0
Correct 0.9981023613097159 0
Correct 0.9996149671721718 0
Wrong 0.4306109235192066 0
Wrong 0.564343508928666 0
Correct 0.5134162275154809 0
Wrong 0.9993295296773429 0
Correct 0.9996390226596034 0
Wrong 0.9955843328290778 0
Correct 0.8264819484316631 0
Wrong 0.9388048619903546 0
Correct 0.778367841297177 0
Correct 0.8671573988592509 0
Wrong 0.8717702455787082 0
Correct 0.9998777940973498 0
Correct 0.9780454909000618 0
Correct 0.9983096287511202 0
Correct 0.8830391777697366 0
Wrong 0.4722020345362696 0
Correct 0.924987864633043 0
Correct 0.9998893555112229 0
Correct 0.9986001884728141 0
Correct 0.7231703066443718 0
Correct 0.9987300239719625 0
Wrong 0.873471390668322 0
Correct 0.9920895245550192 0
Correct 0.8568128742794451 0
Wrong 0.5345432305805782 0
Correct 0.9999016322000293 0
Wrong 0.9580588891035513 0
Correct 0.758104475156009 0
Correct 0.9997427766376031 0
Correct 0.9989105307493726 0
Wrong 0.829174388499704 0
Correct 0.7949718411811731 0
Wrong 0.9894285390153303 0
Correct 0.9995262962475676 0
Wrong 0.9899757098782661 0
Wrong 0.8213246798026544 0
Correct 0.9942707065181529 0
Correct 0.9999080685849515 0
Wrong 0.37729967596387154 0
Correct 0.9953123092810778 0
Correct 0.999629620013958 0
Correct 0.9846901617887348 0
Wrong 0.5191850337363946 0
Wrong 0.9997664960178994 0
Correct 0.8617840624993988 0
Wrong 0.7451853141800981 0
Wrong 0.6808381294604827 0
Correct 0.9634600395737546 0
Correct 0.999695372559064 0
Correct 0.9990973295320225 0
Correct 0.7533841318387258 0
Correct 0.7942588182000946 0
Correct 0.9981355794171218 0
Correct 0.9681434053510369 0
Correct 0.8660800087818948 0
Wrong 0.9621838145721902 0
Correct 0.9995283725592022 0
