grade confidence_level
Wrong 3.578125
Correct 3.009765625
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 4.4921875
Unparseable 0
Unparseable 0
Wrong 4.13671875
Correct 3.716796875
Wrong 4.5234375
Wrong 2.896484375
Unparseable 0
Correct 3.009765625
Unparseable 0
Unparseable 0
Correct 4.328125
Correct 4.87890625
Correct 4.56640625
Correct 3.677734375
Wrong 4.65234375
Unparseable 0
Wrong 4.921875
Correct 5.671875
Unparseable 0
Unparseable 0
Wrong 4.58984375
Wrong 5.05078125
Wrong 4.1953125
Unparseable 0
Correct 4.875
Correct 5.00390625
Correct 4.09765625
Wrong 4.7578125
Wrong 5.546875
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 4.21484375
Correct 4.6640625
Wrong 2.12109375
Wrong 5.0078125
Unparseable 0
Correct 4.81640625
Wrong 3.173828125
Unparseable 0
Wrong 5.2265625
Wrong 4.1015625
Wrong 5.03125
Wrong 4.15234375
Wrong 3.119140625
Wrong 5.53125
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 5.13671875
Unparseable 0
Unparseable 0
Correct 4.8046875
Unparseable 0
Wrong 5.0703125
Correct 4.25390625
Correct 4.02734375
Wrong 4.5859375
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 3.841796875
Unparseable 0
Wrong 1.58984375
Unparseable 0
Correct 4.84765625
Wrong 3.697265625
Unparseable 0
Wrong 1.869140625
Correct 1.7021484375
Wrong 4.31640625
Wrong 3.859375
Correct 5.2890625
Unparseable 0
Wrong 4.20703125
Correct 1.615234375
Unparseable 0
Correct 3.7421875
Unparseable 0
Unparseable 0
Wrong 3.93359375
Wrong 2.306640625
Correct 4.921875
Correct 3.78125
Unparseable 0
Correct 5.7578125
Unparseable 0
Wrong 3.763671875
Unparseable 0
Unparseable 0
Correct 5.0390625
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 5.12109375
Correct 4.953125
Wrong 5.30859375
Wrong 2.47265625
Unparseable 0
Correct 4.85546875
Wrong 2.900390625
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 3.4375
Correct 3.876953125
Correct 4.38671875
Unparseable 0
Wrong 2.353515625
Wrong 3.97265625
Unparseable 0
Unparseable 0
Correct 5.05078125
Unparseable 0
Correct 4.15625
Correct 4.4765625
Correct 4.8046875
Correct 3.146484375
Correct 4.328125
Unparseable 0
Unparseable 0
Wrong 4.73046875
Unparseable 0
Correct 4.9140625
Wrong 2.6796875
Wrong 4.92578125
Unparseable 0
Unparseable 0
Correct 3.724609375
Correct 2.05859375
Correct 4.6875
Correct 5.29296875
Wrong 5.23046875
Unparseable 0
Unparseable 0
Correct 3.892578125
Wrong 4.96875
Wrong 4.125
Unparseable 0
Wrong 3.955078125
Correct 4.328125
Correct 4.109375
Unparseable 0
Wrong 2.71484375
Wrong 2.443359375
Unparseable 0
Wrong 4.1484375
Unparseable 0
Unparseable 0
Unparseable 0
Correct 3.576171875
Correct 5.07421875
Unparseable 0
Wrong 4.29296875
Wrong 3.59765625
Correct 4.875
Wrong 4.76953125
Unparseable 0
Wrong 3.87890625
Correct 4.5078125
Unparseable 0
Unparseable 0
Correct 4.421875
Unparseable 0
Unparseable 0
Wrong 4.1328125
Correct 5.18359375
Correct 5.1796875
Unparseable 0
Wrong 5.7421875
Correct 4.29296875
Wrong 4.1953125
Correct 4.44921875
Wrong 3.58203125
Wrong 4.76171875
Unparseable 0
Unparseable 0
Correct 4.15234375
Unparseable 0
Unparseable 0
Correct 3.66015625
Correct 3.23828125
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 4.34765625
Wrong 4.48828125
Unparseable 0
Correct 4.8046875
Correct 2.361328125
Correct 4.07421875
Unparseable 0
Wrong 1.6806640625
Wrong 5.4609375
Unparseable 0
Correct 5.69921875
Unparseable 0
Unparseable 0
Correct 2.9140625
Wrong 4.13671875
Unparseable 0
Unparseable 0
Wrong 3.73046875
Unparseable 0
Unparseable 0
Wrong 4.99609375
Wrong 4.61328125
Wrong 4.4765625
Unparseable 0
Wrong 1.91796875
Correct 4.69140625
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 3.67578125
Unparseable 0
Unparseable 0
Wrong 5.16796875
Wrong 4.5390625
Correct 5.3359375
Correct 5.05859375
Correct 3.884765625
Correct 3.083984375
Unparseable 0
Wrong 4.59765625
Correct 3.634765625
Wrong 3.435546875
Correct 3.365234375
Wrong 5.20703125
Unparseable 0
Wrong 4.33203125
Unparseable 0
Unparseable 0
Unparseable 0
Correct 4.4140625
Unparseable 0
Wrong 5.078125
Wrong 5.05859375
Wrong 5.97265625
Correct 3.509765625
Unparseable 0
Correct 3.791015625
Wrong 3.611328125
Correct 5.30859375
Correct 4.4375
Correct 5.51171875
Unparseable 0
Correct 2.58203125
Unparseable 0
Unparseable 0
Wrong 4.90234375
Wrong 4.453125
Correct 3.240234375
Wrong 5.37109375
Wrong 4.1171875
Correct 4.625
Unparseable 0
Unparseable 0
Wrong 5.33984375
Wrong 5.109375
Correct 4.90234375
Correct 2.1796875
Correct 4.328125
Correct 3.015625
Unparseable 0
Unparseable 0
Correct 4.1015625
Correct 4.51171875
Correct 4.2421875
Wrong 2.103515625
Wrong 5.640625
Wrong 4.6328125
Correct 5.66796875
Unparseable 0
Correct 1.6376953125
Correct 5.21484375
Wrong 4.203125
Unparseable 0
Correct 3.419921875
Unparseable 0
Wrong 5.171875
Correct 3.1484375
Unparseable 0
Correct 4.78515625
Correct 4.9140625
Correct 1.6171875
Correct 3.85546875
Correct 4.6484375
Unparseable 0
Unparseable 0
Correct 3.033203125
Wrong 4.85546875
Unparseable 0
Unparseable 0
Unparseable 0
Correct 3.0625
Unparseable 0
Correct 5.1015625
Unparseable 0
Unparseable 0
Wrong 4.66015625
Unparseable 0
Correct 5.05859375
Wrong 4.76953125
Unparseable 0
Wrong 5.3359375
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 5.2265625
Unparseable 0
Unparseable 0
Wrong 5.05859375
Wrong 4.234375
Unparseable 0
Wrong 3.40234375
Correct 2.73828125
Unparseable 0
Wrong 1.453125
Unparseable 0
Correct 1.9697265625
Correct 3.759765625
Unparseable 0
Unparseable 0
Correct 4.4921875
Correct 5.5078125
Wrong 4.8046875
Unparseable 0
Correct 4.3046875
Correct 4.67578125
Wrong 4.16796875
Unparseable 0
Wrong 5.34765625
Unparseable 0
Wrong 4.2265625
Unparseable 0
Correct 2.53515625
Wrong 4.82421875
Correct 3.619140625
Correct 4.890625
Wrong 4.73828125
Unparseable 0
Wrong 4.55859375
Wrong 4.93359375
Unparseable 0
Unparseable 0
Wrong 5.3359375
Correct 4.13671875
Unparseable 0
Unparseable 0
Unparseable 0
Correct 2.0390625
Unparseable 0
Unparseable 0
Unparseable 0
Correct 2.701171875
Wrong 4.69921875
Unparseable 0
Unparseable 0
Wrong 4.71875
Correct 3.59765625
Unparseable 0
Correct 2.361328125
Correct 4.35546875
Correct 4.6484375
Unparseable 0
Correct 5.07421875
Correct 1.5302734375
Correct 5.6796875
Wrong 3.9921875
Wrong 2.921875
Correct 4.48046875
Correct 6.0546875
Correct 5.05078125
Wrong 4.94140625
Wrong 3.99609375
Correct 1.6611328125
Wrong 3.5390625
Wrong 5.6875
Wrong 5.19921875
Correct 4.49609375
Unparseable 0
Wrong 4.625
Wrong 4.890625
Unparseable 0
Unparseable 0
Correct 6.0390625
Correct 5.390625
Wrong 2.328125
Unparseable 0
Unparseable 0
Unparseable 0
Correct 5.7421875
Unparseable 0
Wrong 1.76171875
Wrong 2.771484375
Unparseable 0
Unparseable 0
Correct 2.470703125
Unparseable 0
Correct 5.08203125
Wrong 3.677734375
Unparseable 0
Wrong 1.79296875
Wrong 4.80859375
Unparseable 0
Correct 4.78125
Correct 3.798828125
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 4.640625
Correct 5.0703125
Wrong 4.7578125
Unparseable 0
Correct 3.984375
Unparseable 0
Unparseable 0
Wrong 4.92578125
Unparseable 0
Unparseable 0
Correct 5.3828125
Unparseable 0
Wrong 4.28515625
Unparseable 0
Correct 3.74609375
Unparseable 0
Unparseable 0
Correct 3.73828125
Unparseable 0
Wrong 4.9453125
Wrong 1.9638671875
Correct 2.76171875
Correct 5.55859375
Unparseable 0
Correct 2.234375
Unparseable 0
Wrong 5.05078125
Unparseable 0
Unparseable 0
Wrong 4.7578125
Correct 4.640625
Wrong 3.99609375
Unparseable 0
Unparseable 0
Unparseable 0
Correct 4.26171875
Wrong 2.55859375
Unparseable 0
Wrong 5.44921875
Unparseable 0
Unparseable 0
Correct 4.2109375
Wrong 5.2265625
Unparseable 0
Correct 4.94140625
Wrong 1.52734375
Correct 2.095703125
Unparseable 0
Wrong 4.8046875
Correct 5.6640625
Unparseable 0
Correct 4.484375
Correct 4.4296875
Correct 3.734375
Unparseable 0
Correct 2.953125
Correct 3.736328125
Correct 4.75
Correct 4.921875
Unparseable 0
Unparseable 0
Wrong 4.68359375
Correct 5.67578125
Unparseable 0
Wrong 4.546875
Correct 4.9140625
Wrong 5.0859375
Wrong 4.1171875
Correct 4.3671875
Correct 5.19921875
Correct 4.89453125
Unparseable 0
Correct 3.009765625
Unparseable 0
Wrong 4.04296875
Correct 4.27734375
