grade confidence_level
Correct 21.5
Correct 20.75
Correct 22.03125
Correct 16.34375
Correct 19.984375
Correct 17.40625
Correct 19.84375
Correct 21.0625
Wrong 16.140625
Correct 15.3671875
Correct 16.90625
Correct 21.71875
Correct 21.0
Correct 21.3125
Wrong 16.546875
Correct 17.015625
Correct 17.671875
Correct 21.453125
Wrong 20.0625
Correct 17.875
Correct 17.828125
Correct 17.078125
Correct 20.78125
Correct 20.9375
Correct 16.671875
Correct 16.8125
Correct 20.75
Correct 21.734375
Correct 20.234375
Correct 20.671875
Correct 16.984375
Correct 20.15625
Correct 21.390625
Correct 20.828125
Wrong 15.8671875
Correct 20.984375
Correct 21.46875
Wrong 16.765625
Correct 19.875
Correct 18.09375
Wrong 16.453125
Correct 17.234375
Correct 21.234375
Correct 20.796875
Correct 17.890625
Correct 17.03125
Correct 15.9296875
Correct 21.71875
Wrong 16.875
Correct 16.734375
Correct 19.296875
Correct 17.078125
Correct 20.875
Correct 22.40625
Wrong 16.078125
Correct 21.09375
Correct 17.25
Correct 18.1875
Correct 21.546875
Wrong 16.359375
Wrong 16.484375
Correct 21.359375
Correct 20.21875
Correct 16.71875
Correct 21.203125
Correct 21.96875
Correct 20.359375
Correct 20.984375
Correct 16.03125
Correct 21.453125
Correct 20.96875
Correct 21.234375
Correct 21.171875
Correct 19.421875
Correct 21.03125
Correct 17.96875
Correct 21.671875
Correct 21.65625
Correct 16.640625
Correct 20.8125
Wrong 21.4375
Correct 20.671875
Correct 17.5625
Correct 22.046875
Correct 20.453125
Correct 20.859375
Correct 21.78125
Correct 15.90625
Correct 20.921875
Correct 20.625
Correct 16.15625
Correct 17.765625
Correct 20.734375
Correct 21.125
Correct 19.65625
Correct 21.421875
Correct 20.609375
Correct 20.0625
Correct 19.8125
Correct 17.078125
Correct 20.71875
Correct 20.390625
Correct 21.765625
Correct 21.46875
Correct 19.328125
Correct 21.09375
Correct 20.4375
Wrong 16.75
Correct 21.578125
Correct 16.875
Correct 18.90625
Correct 16.6875
Correct 20.421875
Correct 19.640625
Correct 17.265625
Wrong 17.515625
Correct 18.40625
Wrong 20.375
Wrong 18.8125
Correct 21.734375
Correct 18.40625
Correct 19.53125
Correct 21.15625
Correct 17.234375
Correct 17.796875
Correct 20.515625
Wrong 16.453125
Correct 20.25
Correct 21.28125
Correct 20.0625
Correct 21.046875
Correct 21.171875
Correct 20.4375
Correct 22.046875
Correct 18.078125
Correct 19.796875
Wrong 16.9375
Correct 21.921875
Correct 16.546875
Correct 21.359375
Correct 21.453125
Correct 21.140625
Correct 20.90625
Correct 20.953125
Wrong 16.578125
Correct 20.828125
Wrong 15.828125
Correct 20.53125
Correct 19.46875
Wrong 16.109375
Wrong 17.375
Correct 21.234375
Wrong 16.40625
Correct 20.3125
Wrong 16.453125
Correct 20.765625
Correct 16.953125
Correct 21.25
Correct 19.71875
Correct 20.671875
Correct 22.234375
Correct 17.0625
Correct 17.15625
Correct 21.015625
Correct 16.6875
Correct 18.234375
Correct 20.84375
Wrong 16.828125
Correct 15.7734375
Correct 20.125
Correct 20.953125
Correct 21.6875
Correct 18.25
Correct 20.921875
Correct 19.859375
Wrong 17.03125
Correct 15.78125
Correct 19.890625
Correct 19.140625
Wrong 16.40625
Correct 22.171875
Correct 21.109375
Correct 21.296875
Correct 17.921875
Correct 20.578125
Wrong 16.71875
Correct 21.0
Correct 16.875
Wrong 15.5390625
Correct 20.828125
Correct 21.46875
Correct 21.5
Correct 20.671875
Correct 21.671875
Correct 17.328125
Correct 17.375
Wrong 16.046875
Correct 20.09375
Correct 22.171875
Correct 20.5
Correct 20.640625
Correct 20.546875
Correct 21.875
Correct 21.78125
Wrong 19.78125
Correct 20.421875
Correct 17.0
Correct 21.84375
Correct 20.515625
Correct 16.703125
Correct 21.40625
Correct 21.375
Correct 20.15625
Correct 19.765625
Wrong 16.5625
Correct 20.328125
Wrong 16.78125
Correct 16.609375
Correct 16.84375
Correct 20.484375
Wrong 16.578125
Correct 17.1875
Correct 20.28125
Correct 21.328125
Correct 20.453125
Correct 19.578125
Correct 21.296875
Correct 20.890625
Correct 21.65625
Correct 20.6875
Correct 20.671875
Correct 21.03125
Correct 21.734375
Correct 16.859375
Correct 17.53125
Correct 20.859375
Correct 17.390625
Correct 21.53125
Wrong 16.40625
Correct 16.265625
Correct 16.734375
Correct 18.25
Correct 16.53125
Correct 21.71875
Correct 17.375
Correct 18.421875
Correct 21.328125
Correct 20.921875
Wrong 19.84375
Wrong 16.328125
Correct 21.15625
Correct 17.78125
Correct 21.078125
Correct 19.5625
Correct 17.078125
Wrong 17.578125
Correct 21.390625
Correct 21.671875
Correct 17.21875
Correct 16.703125
Correct 17.640625
Correct 20.6875
Correct 21.015625
Correct 16.65625
Correct 21.203125
Wrong 21.21875
Correct 21.75
Wrong 16.5625
Correct 21.578125
Correct 16.890625
Correct 21.171875
Wrong 16.25
Correct 19.609375
Correct 21.640625
Correct 20.4375
Correct 20.9375
Correct 21.3125
Correct 21.640625
Correct 20.421875
Correct 18.40625
Correct 20.140625
Correct 20.703125
Wrong 16.90625
Correct 20.703125
Correct 17.09375
Correct 17.265625
Wrong 15.9375
Wrong 16.03125
Correct 19.875
Correct 21.328125
Correct 20.6875
Correct 21.015625
Correct 21.0
Correct 17.15625
Wrong 16.375
Correct 16.25
Correct 21.5625
Wrong 16.90625
Correct 16.546875
Wrong 16.625
Correct 22.21875
Correct 19.59375
Correct 21.015625
Correct 20.546875
Correct 20.34375
Correct 22.015625
Correct 17.953125
Correct 19.84375
Correct 17.671875
Wrong 16.515625
Correct 21.578125
Correct 18.0625
Correct 16.671875
Correct 20.828125
Correct 17.46875
Wrong 16.828125
Correct 19.90625
Correct 18.890625
Correct 16.21875
Correct 19.640625
Correct 17.53125
Correct 17.390625
Correct 20.53125
Wrong 16.828125
Correct 21.703125
Wrong 16.0625
Correct 16.03125
Wrong 16.921875
Correct 20.21875
Correct 21.484375
Correct 19.984375
Correct 21.8125
