grade confidence_level
Wrong 18.265625
Wrong 18.421875
Wrong 11.84375
Wrong 18.671875
Correct 18.78125
Correct 16.1875
Correct 16.234375
Correct 16.640625
Correct 16.03125
Wrong 16.0625
Wrong 16.125
Correct 16.734375
Correct 12.34375
Wrong 16.0625
Correct 12.6015625
Wrong 15.7421875
Wrong 18.265625
Correct 16.1875
Correct 12.828125
Wrong 15.578125
Correct 15.9140625
Correct 15.828125
Wrong 12.7890625
Correct 16.640625
Correct 16.828125
Unparseable 0
Correct 16.40625
Wrong 12.8046875
Wrong 17.90625
Correct 15.6171875
Wrong 15.421875
Correct 16.953125
Correct 15.65625
Correct 16.078125
Correct 12.6015625
Correct 15.7890625
Wrong 16.125
Correct 15.8984375
Wrong 18.234375
Correct 18.671875
Wrong 17.703125
Correct 16.375
Correct 16.90625
Correct 16.390625
Correct 17.828125
Correct 15.7578125
Correct 15.9921875
Correct 15.96875
Correct 16.34375
Wrong 15.3046875
Correct 15.84375
Correct 16.734375
Correct 16.546875
Correct 17.78125
Wrong 12.4609375
Correct 16.578125
Wrong 12.703125
Correct 15.8203125
Wrong 12.703125
Wrong 12.203125
Correct 16.6875
Wrong 12.765625
Correct 19.1875
Correct 16.125
Correct 12.234375
Wrong 19.3125
Correct 13.2890625
Correct 15.8203125
Correct 15.875
Correct 13.171875
Correct 16.5625
Wrong 15.28125
Wrong 12.6328125
Wrong 12.828125
Correct 16.921875
Correct 15.953125
Correct 15.8671875
Correct 15.6875
Correct 15.765625
Correct 15.9296875
Unparseable 0
Wrong 15.8359375
Unparseable 0
Correct 16.125
Wrong 15.2890625
Wrong 18.234375
Correct 15.484375
Correct 16.53125
Correct 16.28125
Wrong 15.671875
Correct 16.328125
Wrong 18.15625
Wrong 17.71875
Correct 15.96875
Unparseable 0
Correct 12.5546875
Correct 13.3515625
Correct 16.5
Unparseable 0
Wrong 12.8515625
Correct 15.953125
Correct 16.515625
Correct 16.203125
Wrong 15.7109375
Wrong 12.09375
Correct 16.40625
Correct 16.265625
Correct 16.765625
Wrong 16.0625
Unparseable 0
Wrong 16.109375
Correct 15.96875
Wrong 16.1875
Correct 16.4375
Wrong 12.390625
Wrong 18.0
Wrong 12.7421875
Wrong 16.015625
Correct 16.234375
Wrong 18.578125
Wrong 18.40625
Wrong 13.1328125
Wrong 18.21875
Correct 16.359375
Correct 12.671875
Wrong 17.6875
Correct 16.03125
Wrong 11.96875
Correct 12.7421875
Correct 15.890625
Wrong 13.2578125
Correct 12.46875
Wrong 18.15625
Correct 12.359375
Wrong 11.671875
Correct 16.390625
Correct 15.4765625
Wrong 15.4765625
Correct 16.515625
Wrong 18.609375
Correct 16.34375
Correct 15.96875
Wrong 11.3203125
Wrong 16.4375
Correct 16.484375
Correct 16.296875
Wrong 16.015625
Correct 16.515625
Correct 16.671875
Correct 16.28125
Wrong 18.640625
Correct 15.8984375
Wrong 12.7578125
Wrong 18.015625
Wrong 18.34375
Correct 16.0
Unparseable 0
Correct 16.25
Correct 18.4375
Correct 16.34375
Correct 15.8828125
Correct 12.6484375
Correct 17.171875
Wrong 15.4609375
Wrong 11.9921875
Correct 16.171875
Correct 13.1171875
Correct 15.421875
Wrong 12.6484375
Wrong 12.3203125
Wrong 12.640625
Correct 17.359375
Correct 16.21875
Correct 16.078125
Correct 16.21875
Correct 18.671875
Wrong 12.7578125
Wrong 12.4765625
Wrong 15.3984375
Correct 15.96875
Correct 16.28125
Wrong 15.6171875
Correct 16.8125
Wrong 18.6875
Wrong 15.9453125
Correct 16.21875
Correct 16.5625
Correct 16.203125
Correct 16.0
Correct 18.171875
Wrong 15.671875
Correct 16.09375
Wrong 12.96875
Correct 15.8203125
Correct 16.609375
Correct 13.3671875
Correct 18.03125
Correct 15.609375
Wrong 18.78125
Correct 16.625
Correct 12.875
Unparseable 0
Correct 17.140625
Correct 15.9375
Wrong 15.578125
Wrong 12.90625
Wrong 13.1953125
Wrong 12.0546875
Wrong 12.265625
Correct 13.25
Correct 12.328125
Wrong 16.484375
Wrong 12.890625
Correct 16.71875
Correct 12.3515625
Wrong 15.75
Correct 16.375
Correct 16.09375
Wrong 18.28125
Wrong 15.3125
Correct 16.0625
Correct 17.84375
Correct 16.25
Wrong 18.0
Correct 16.015625
Correct 16.0625
Wrong 16.3125
Correct 15.6640625
Wrong 13.0
Wrong 12.484375
Correct 18.375
Wrong 18.328125
Wrong 13.09375
Wrong 15.3515625
