grade confidence_level
Correct 2.482421875
Unparseable 0
Correct 2.62890625
Wrong 2.5390625
Wrong 2.388671875
Correct 2.365234375
Wrong 3.11328125
Wrong 2.19140625
Correct 2.61328125
Correct 2.84375
Wrong 2.73046875
Wrong 2.1640625
Correct 2.947265625
Wrong 2.689453125
Correct 2.28515625
Correct 3.1796875
Wrong 2.5859375
Wrong 2.705078125
Wrong 2.482421875
Wrong 2.57421875
Wrong 2.435546875
Correct 2.92578125
Wrong 2.08203125
Wrong 1.5869140625
Correct 2.16015625
Wrong 2.59765625
Wrong 1.919921875
Correct 2.708984375
Wrong 2.837890625
Wrong 2.16796875
Wrong 2.431640625
Wrong 2.259765625
Wrong 2.400390625
Correct 2.455078125
Wrong 2.802734375
Wrong 2.400390625
Wrong 1.3896484375
Correct 2.462890625
Correct 1.88671875
Wrong 2.32421875
Wrong 2.90234375
Correct 2.271484375
Correct 2.27734375
Wrong 2.751953125
Correct 2.31640625
Correct 2.51953125
Wrong 2.03515625
Correct 3.609375
Wrong 2.400390625
Correct 2.2109375
Wrong 2.5546875
Wrong 2.27734375
Unparseable 0
Unparseable 0
Correct 2.408203125
Wrong 2.615234375
Correct 2.513671875
Wrong 2.931640625
Correct 2.18359375
Wrong 2.6484375
Correct 2.861328125
Correct 2.28515625
Wrong 1.9375
Correct 2.4296875
Correct 2.806640625
Wrong 2.38671875
Correct 2.30859375
Correct 2.611328125
Wrong 2.24609375
Wrong 1.8203125
Unparseable 0
Wrong 2.2734375
Wrong 2.017578125
Wrong 2.40234375
Wrong 2.326171875
Correct 2.4609375
Wrong 3.05078125
Correct 2.53515625
Wrong 2.466796875
Wrong 2.525390625
Wrong 2.865234375
Unparseable 0
Unparseable 0
Wrong 3.0390625
Wrong 1.7646484375
Wrong 2.998046875
Wrong 2.2265625
Unparseable 0
Wrong 2.02734375
Correct 1.6337890625
Wrong 2.580078125
Correct 2.740234375
Correct 2.658203125
Wrong 3.310546875
Wrong 2.068359375
Wrong 2.53125
Correct 2.92578125
Wrong 2.810546875
Correct 2.796875
Correct 2.166015625
Wrong 2.103515625
Correct 2.765625
Wrong 2.65625
Wrong 2.345703125
Correct 2.625
Unparseable 0
Wrong 2.470703125
Wrong 2.642578125
Wrong 2.740234375
Wrong 2.294921875
Wrong 2.416015625
Wrong 2.0078125
Wrong 2.162109375
Wrong 2.462890625
Correct 2.974609375
Wrong 2.630859375
