grade confidence_level
Wrong 0.6116333603858948
Unparseable 0
Wrong 0.1935073286294937
Wrong 0.9953711032867432
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.5017226338386536
Unparseable 0
Wrong 0.03439294546842575
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.2869608700275421
Wrong 0.2023162841796875
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.457792192697525
Unparseable 0
Unparseable 0
Wrong 0.4394863247871399
Correct 0.21535371243953705
Unparseable 0
Wrong 0.9115028381347656
Wrong 0.42675450444221497
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.8670623898506165
Wrong 0.883920431137085
Unparseable 0
Correct 0.5244411826133728
Correct 0.5125471949577332
Unparseable 0
Unparseable 0
Wrong 0.242130845785141
Unparseable 0
Wrong 0.48581528663635254
Unparseable 0
Correct 0.7892981767654419
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.04041547700762749
Unparseable 0
Correct 0.8024394512176514
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.42007383704185486
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.5547440052032471
Unparseable 0
Wrong 0.6101604104042053
Wrong 0.7971701622009277
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.8728339076042175
Unparseable 0
Wrong 0.474391907453537
Wrong 0.25207147002220154
Wrong 0.8920454382896423
Unparseable 0
Unparseable 0
Wrong 0.4849134683609009
Unparseable 0
Unparseable 0
Wrong 0.5497320890426636
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.5132473111152649
Correct 0.5496931672096252
Wrong 0.9561942219734192
Unparseable 0
Wrong 0.9745107889175415
Unparseable 0
Unparseable 0
Wrong 0.5042364001274109
Correct 0.45177319645881653
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.11502860486507416
Wrong 0.2238861471414566
Unparseable 0
Unparseable 0
Correct 0.10388702154159546
Unparseable 0
Correct 0.8934814929962158
Wrong 0.8532415628433228
Correct 0.8625451922416687
Unparseable 0
Unparseable 0
Correct 0.3556082546710968
Wrong 0.5156905651092529
Unparseable 0
Wrong 0.044555552303791046
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.31817683577537537
Wrong 0.5071281790733337
Wrong 0.501031756401062
Unparseable 0
Wrong 0.4819958806037903
Wrong 0.8922212719917297
Wrong 0.8436048030853271
Wrong 0.2529521584510803
Unparseable 0
Wrong 0.03028123453259468
Wrong 0.2562721073627472
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.4762554466724396
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.8989697694778442
Unparseable 0
Unparseable 0
Wrong 0.8579429388046265
Unparseable 0
Wrong 0.2053469717502594
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.45508211851119995
Wrong 0.8739436268806458
Correct 0.9437345266342163
Wrong 0
Wrong 0.9049369096755981
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.4899972081184387
Wrong 0.8462579846382141
Wrong 0.29261156916618347
Unparseable 0
Wrong 0.9416482448577881
Unparseable 0
Correct 0.4537956118583679
Wrong 0.29544320702552795
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.6220899224281311
Correct 0.42583414912223816
Unparseable 0
Unparseable 0
Wrong 0.12900812923908234
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.7187619805335999
Unparseable 0
Unparseable 0
Wrong 0.14143767952919006
Unparseable 0
Unparseable 0
Wrong 0.39991843700408936
Unparseable 0
Unparseable 0
Wrong 0.18847107887268066
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.7001316547393799
Correct 0.19410765171051025
Unparseable 0
Unparseable 0
Correct 0.5549120903015137
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.6572099924087524
Correct 0.16583159565925598
Correct 0.04974199831485748
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.9955287575721741
Wrong 0.48531147837638855
Unparseable 0
Correct 0.6945295929908752
Wrong 0.4730868339538574
Unparseable 0
Wrong 0.17900800704956055
Wrong 0.8765270113945007
Unparseable 0
Correct 0.42093464732170105
Unparseable 0
Wrong 0.8846425414085388
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.9741008281707764
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.9550765752792358
Unparseable 0
Unparseable 0
Correct 0.525536298751831
Unparseable 0
Wrong 0.17406561970710754
Wrong 0.21042288839817047
Correct 0.912875235080719
Wrong 0.8782023787498474
Unparseable 0
Unparseable 0
Wrong 0.45929932594299316
Unparseable 0
Wrong 0.9170061945915222
Correct 0.798264741897583
Wrong 0.8075131773948669
Unparseable 0
Wrong 0.045157451182603836
Unparseable 0
Correct 0.4638480544090271
Wrong 0.41003021597862244
Unparseable 0
Unparseable 0
Wrong 0.2341996431350708
Unparseable 0
Unparseable 0
Wrong 0.8825453519821167
Wrong 0.4072782099246979
Unparseable 0
Wrong 0.3148955702781677
Correct 0.8546844720840454
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.9990496039390564
Unparseable 0
Correct 0.9014578461647034
Unparseable 0
Unparseable 0
Wrong 0.786747932434082
Unparseable 0
Correct 0.8894869089126587
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.4748302698135376
Unparseable 0
Unparseable 0
Wrong 0.6932418942451477
Unparseable 0
Wrong 0.038014110177755356
Unparseable 0
Correct 0.05025491490960121
Unparseable 0
Wrong 0.7629947066307068
Unparseable 0
Unparseable 0
Correct 0.4783744215965271
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.20596875250339508
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.045223768800497055
Unparseable 0
Unparseable 0
Wrong 0.04634331166744232
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.22983388602733612
Wrong 0.5696292519569397
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.746802031993866
Unparseable 0
Wrong 0.833386242389679
Correct 0.9109989404678345
Unparseable 0
Correct 0.4603733420372009
Wrong 0.9226293563842773
Wrong 0.2237212359905243
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.8335245847702026
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.8690347075462341
Unparseable 0
Wrong 0.9095801711082458
Wrong 0.4564324915409088
Unparseable 0
Unparseable 0
Wrong 0.2291387915611267
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.12845581769943237
Unparseable 0
Wrong 0.4458630084991455
Unparseable 0
Unparseable 0
Wrong 0.08307036757469177
Unparseable 0
Wrong 0.41738998889923096
Unparseable 0
Unparseable 0
Wrong 0.6848832368850708
Unparseable 0
Wrong 0.6086193323135376
Wrong 0.9781230092048645
Unparseable 0
Unparseable 0
Wrong 0.8304339647293091
Unparseable 0
Unparseable 0
Correct 0.1599903404712677
Unparseable 0
Correct 0.20884309709072113
Unparseable 0
Unparseable 0
Wrong 0.7958319187164307
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.9485062956809998
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.483113557100296
Wrong 0.46786874532699585
Unparseable 0
Correct 0.47744885087013245
Wrong 0.22972621023654938
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0
Wrong 0.8728163242340088
Correct 0.16111797094345093
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.8865452408790588
Unparseable 0
Wrong 0.4806921184062958
Unparseable 0
Wrong 0.11657661944627762
Unparseable 0
Unparseable 0
Wrong 0.33959412574768066
Unparseable 0
Wrong 0.6252286434173584
Unparseable 0
Unparseable 0
Wrong 0.04401088133454323
Correct 0.2734927237033844
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.250861793756485
Unparseable 0
Wrong 0.23783496022224426
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.41788291931152344
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.027935320511460304
Unparseable 0
Unparseable 0
Wrong 0.03225744515657425
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0
Unparseable 0
Wrong 0.03883247822523117
Correct 0.8986730575561523
Wrong 0.9917721152305603
Unparseable 0
Unparseable 0
Wrong 0.40676021575927734
Wrong 0.725487470626831
Wrong 0.9148256778717041
Wrong 0.8943672180175781
Unparseable 0
Wrong 0.46270468831062317
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.499870628118515
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.9209340214729309
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.8521524667739868
Unparseable 0
Unparseable 0
Wrong 0.029181867837905884
Unparseable 0
Unparseable 0
Wrong 0.4086158871650696
Unparseable 0
Correct 0.17544132471084595
Wrong 0.032622553408145905
Wrong 0.43158310651779175
Unparseable 0
Unparseable 0
Correct 0.17077766358852386
Wrong 0.7453077435493469
Unparseable 0
Unparseable 0
Unparseable 0
Correct 0.9585958123207092
Unparseable 0
