grade confidence_level
Correct 28.390625
Wrong 28.96875
Correct 29.171875
Correct 26.09375
Wrong 29.25
Wrong 29.296875
Correct 28.890625
Correct 29.9375
Wrong 29.84375
Wrong 29.453125
Correct 29.53125
Wrong 29.0625
Correct 29.78125
Correct 29.515625
Wrong 28.5
Correct 29.46875
Correct 29.25
Correct 29.6875
Correct 29.84375
Correct 27.078125
Correct 29.75
Wrong 28.3125
Correct 24.640625
Wrong 26.359375
Correct 28.828125
Wrong 25.640625
Wrong 28.828125
Correct 30.109375
Correct 28.46875
Wrong 26.53125
Wrong 29.328125
Correct 29.5625
Wrong 29.484375
Correct 27.8125
Wrong 29.109375
Wrong 29.34375
Wrong 28.734375
Wrong 28.8125
Wrong 29.765625
Correct 26.453125
Correct 29.421875
Correct 24.859375
Wrong 29.859375
Wrong 28.734375
Wrong 28.328125
Correct 27.140625
Correct 25.390625
Correct 29.9375
Correct 29.25
Correct 28.8125
Wrong 29.09375
Correct 27.0
Wrong 26.484375
Wrong 29.84375
Correct 30.21875
Wrong 29.75
Wrong 28.765625
Wrong 28.3125
Correct 28.484375
Correct 25.078125
Wrong 29.859375
Wrong 29.78125
Wrong 28.5
Correct 28.6875
Wrong 27.015625
Wrong 29.125
Correct 26.15625
Wrong 28.453125
Wrong 28.90625
Wrong 28.828125
Correct 26.109375
Wrong 29.84375
Correct 29.265625
Correct 27.765625
Wrong 28.953125
Correct 28.375
Correct 25.953125
Correct 29.25
Wrong 28.9375
Correct 27.078125
Wrong 29.71875
Correct 26.875
Correct 28.5625
Correct 29.484375
Correct 29.828125
Wrong 26.4375
Correct 28.34375
Wrong 28.578125
Correct 29.46875
Wrong 26.75
Correct 29.375
Correct 29.078125
Correct 26.375
Correct 29.328125
Correct 24.296875
Wrong 29.1875
Wrong 29.25
Correct 22.640625
Wrong 28.0625
Correct 28.59375
Wrong 28.34375
Wrong 29.109375
Correct 29.84375
Correct 28.96875
Correct 26.515625
Correct 28.671875
Correct 29.171875
Correct 29.0625
Correct 27.6875
Wrong 27.328125
Correct 27.359375
Wrong 29.953125
Correct 29.828125
Wrong 29.359375
Correct 29.28125
Wrong 27.5625
Wrong 28.671875
Wrong 28.5
Correct 27.71875
Correct 26.890625
Correct 27.28125
Correct 28.390625
Correct 29.859375
Wrong 28.25
Wrong 26.71875
Wrong 29.171875
Correct 29.609375
Wrong 29.515625
Correct 25.765625
Correct 29.140625
Correct 24.609375
Correct 24.5625
Correct 29.421875
Correct 29.171875
Wrong 29.28125
Correct 26.203125
Wrong 29.078125
Correct 28.578125
Correct 29.328125
Wrong 29.484375
